kentucky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTIVE,ADDRESS,ADDRESS2,ASSET,BKCLASS,CALLFORM,CB,CBSA_METRO,CERT,CFPBEFFDTE,CFPBENDDTE,CFPBFLAG,CHARTER,CHRTAGNT,CITY,CITYHCR,CLCODE,CONSERVE,COUNTY,DATEUPDT,DENOVO,DEP,DEPDOM,DOCKET,EFFDATE,ENDEFYMD,EQ,ESTYMD,FDICDBS,FDICREGN,FDICSUPV,FED,FEDCHRTR,FED_RSSD,FORM31,HCTMULT,IBA,ID,INACTIVE,INSAGNT1,INSAGNT2,INSBIF,INSCOML,INSDATE,INSDIF,INSFDIC,INSSAIF,INSSAVE,INSTAG,INSTCRCD,LATITUDE,LAW_SASSER_FLG,LONGITUDE,MDI_STATUS_CODE,MDI_STATUS_DESC,MUTUAL,NAME,NAMEHCR,NETINC,NETINCQ,NEWCERT,OAKAR,OCCDIST,OFFDOM,OFFFOR,OFFICES,OFFOA,OI,PARCERT,PROCDATE,QBPRCOML,REGAGENT2,REGAGNT,REPDTE,RISDATE,ROA,ROAPTX,ROAPTXQ,ROAQ,ROE,ROEQ,RSSDHCR,RUNDATE,S10T250B,SASSER,SPECGRP,SPECGRPN,STALP,STALPHCR,STCHRTR,STCNTY,STNAME,STNUM,SUBCHAPS,SUPRV_FD,SZ100,SZ100T1B,SZ1BT10B,SZ250BP,TE01N528,TE01N529,TE02N528,TE02N529,TE03N528,TE03N529,TE04N528,TE04N529,TE05N528,TE05N529,TE06N528,TE06N529,TE07N528,TE08N528,TE09N528,TE10N528,TRACT,TRUST,ULTCERT,UNINUM,WEBADDR,ZIP,CBSA,CBSA_DIV,CBSA_DIV_FLG,CBSA_DIV_NO,CBSA_METRO_FLG,CBSA_METRO_NAME,CBSA_MICRO_FLG,CBSA_NO,CSA,CSA_FLG,CSA_NO,FEDDESC,OCCDISTDESC,PRIORNAME1,PRIORNAME2,CHANGEC1,CHANGEC2,CHANGEC3,PRIORNAME3,PRIORNAME4,PRIORNAME5,PRIORNAME6,PRIORNAME7
1,44 Commerce Dr,,345912,NM,51,1,0,57869,12/31/9999,12/31/9999,0,0,STATE,Hazard,,21,N,Perry,8/31/2022,0,302006,302006,0,8/31/2022,12/31/9999,29950,12/13/2004,9,Chicago,Chicago,4,0,3309393,0,,0,57869,0,DIF,,0,1,12/13/2004,1,1,0,0,0,0,37.29631502,N,-83.21548804,,NONE,0,"1st Trust Bank, Inc.",,548,548,0,0,,4,0,4,0,0,0,8/31/2022,3,,FDIC,3/31/2026,3/31/2026,0.646620068,0.875533012,0.88,0.65,7.38,7.38,,6/26/2026,0,0,4,Commercial Lending Specialization,KY,,1,21193,Kentucky,21,0,9,0,1,0,0,,,,,,,,,,,,,,,,,0,0,57869,428536,www.1tbi.com,41701,,,,,,,,,,,,,,,,,,,,,,,
1,531 Lovers Ln,,892157,NM,41,1,14540,35568,12/31/9999,12/31/9999,0,0,STATE,Bowling Green,IRVINGTON,21,N,Warren,8/31/2022,0,765949,765949,0,8/31/2022,12/31/9999,82024,7/5/2000,9,Chicago,Chicago,8,0,2919898,0,1,0,35568,0,DIF,,0,1,7/5/2000,1,1,0,0,0,0,36.96634699,N,-86.40620479,,NONE,0,"American Bank & Trust Company, Inc.",FIRST BRECKINRIDGE BANCSHARES,2229,2229,0,0,,6,0,6,0,0,0,8/31/2022,3,,FDIC,3/31/2026,3/31/2026,1.008748483,1.323275265,1.32,1.01,10.98,10.98,1119404,6/26/2026,0,0,4,Commercial Lending Specialization,KY,KY,1,21227,Kentucky,21,0,9,0,1,0,0,,,,,,,,,,,,,,,,,0,0,35568,81679,www.ambanking.com,42103,"Bowling Green, KY",,0,,1,"Bowling Green, KY",0,14540,"Bowling Green-Glasgow, KY",1,150,,,,,,,,,,,,
1,320 Kansas Ave,,1439702,N,51,0,28140,4666,12/31/9999,12/31/9999,0,8796,OCC,Fort Leavenworth,KANSAS CITY,3,N,Leavenworth,8/31/2022,0,1237168,1237168,10192,8/31/2022,12/31/9999,180619,1/1/1907,11,Kansas City,Kansas City,10,1,983457,0,1,0,4666,0,DIF,,0,1,1/1/1934,1,1,0,0,0,0,39.33856401,N,-94.92341203,,NONE,0,"Armed Forces Bank, National Association",DICKINSON FINANCIAL CORP II,6220,6220,0,0,4,15,0,15,0,0,0,8/31/2022,4,,OCC,3/31/2026,3/31/2026,1.737010471,2.297768835,2.3,1.74,13.84,13.84,2107707,6/26/2026,0,0,4,Commercial Lending Specialization,KS,MO,0,20103,Kansas,20,0,11,0,0,1,0,,,,,,,,,,,,,,,,,0,10,4666,3100,afbank.com,66027,"Kansas City, MO-KS",,0,,1,"Kansas City, MO-KS",0,28140,"Kansas City-Overland Park-Kansas City, MO-KS",1,312,KANSAS CITY,WESTERN DISTRICT,Army National Bank,The Army National Bank of Fort Leavenworth,,,,,,,,
1,236 Sugar Maple Drive,,154764,NM,51,1,0,284,12/31/9999,12/31/9999,0,0,STATE,Auburn,AUBURN,21,N,Logan,6/6/2023,0,140390,140390,9664,5/8/2023,12/31/9999,11381,1/1/1929,9,Chicago,Chicago,8,0,811541,0,,0,284,0,DIF,,0,1,1/1/1934,1,1,0,0,0,0,36.86990634,N,-86.71152293,,NONE,0,Auburn Banking Company,FIRST COMMUNITY BCORP INC,626,626,0,0,,3,0,3,0,0,0,6/6/2023,3,,FDIC,3/31/2026,3/31/2026,1.625324951,1.625324951,1.63,1.63,22.25,22.25,2151670,6/26/2026,0,0,8,All Other Under 1 Billion,KY,KY,1,21141,Kentucky,21,1,9,0,1,0,0,,,,,,,,,,,,,,,,,0,0,284,228,www.auburnbankingcompany.com,42206,,,,,,,,,,,,,,,,520,,,,,,,
1,100 N Tryon St,,2672192000,N,31,0,16740,3510,7/21/2011,12/31/9999,1,13044,OCC,Charlotte,CHARLOTTE,3,N,Mecklenburg,8/31/2022,0,2128004000,1991308000,0,8/31/2022,12/31/9999,241710000,10/17/1904,5,Atlanta,Washington,5,1,480228,1,1,0,3510,0,DIF,,0,1,1/1/1934,1,1,0,0,0,0,35.22701499,N,-80.84204503,,NONE,0,"Bank of America, National Association",BANK OF AMERICA CORP,7417000,7417000,0,0,6,3610,229,3830,0,0,0,8/31/2022,2,,OCC,3/31/2026,3/31/2026,1.117646117,1.401841961,1.4,1.12,12.16,12.16,1073757,6/26/2026,0,0,9,All Other Over 1 Billion,NC,NC,0,37119,North Carolina,37,0,16,0,0,0,1,www.ml.com,Bank of America,www.merrilledge.com,Bank of America Merrill Lynch,www.mymerrill.com,BofA,privatebank.bankofamerica.com,BofAML,promo.bankofamerica.com,Merrill,secure.bankofamerica.com,Merrill Lynch,about.bankofamerica.com,promotions.bankofamerica.com,benefits.ml.com,olui2.fs.ml.com,1,10,3510,2238,www.bankofamerica.com,28202,"Charlotte-Concord-Gastonia, NC-SC",,0,,1,"Charlotte-Concord-Gastonia, NC-SC",0,16740,"Charlotte-Concord, NC-SC",1,172,,,Bank of America National Trust and Savings Association,,,,,,,,,
1,2441 Greensburg Rd,,134672,SM,51,1,21060,2733,12/31/9999,12/31/9999,0,0,STATE,Buffalo,BUFFALO,13,N,Larue,8/31/2022,0,108709,108709,13402,8/31/2022,12/31/9999,11878,1/7/1901,9,Chicago,Chicago,8,0,825940,0,,0,2733,0,DIF,,0,1,1/1/1934,1,1,0,0,0,0,37.51112899,N,-85.69996997,,NONE,0,Bank of Buffalo,BUFFALO BANCSHARES INC,489,489,0,0,,3,0,3,0,0,0,8/31/2022,3,,FED,3/31/2026,3/31/2026,1.461053512,1.461053512,1.46,1.46,16.73,16.73,1096297,6/26/2026,0,0,8,All Other Under 1 Billion,KY,KY,1,21123,Kentucky,21,1,9,0,1,0,0,,,,,,,,,,,,,,,,,0,0,2733,1774,www.thebankofbuffalo.com,42716,"Elizabethtown-Fort Knox, KY",,0,,1,"Elizabethtown-Fort Knox, KY",0,21060,"Louisville-Jefferson County-Elizabethtown-Bardstown, KY-IN",1,350,,,The First National Bank of Buffalo,,,,,,,,,
1,79 Main St,,142555,SM,41,1,17300,20239,12/31/9999,12/31/9999,0,0,STATE,Cadiz,CADIZ,13,N,Trigg,8/31/2022,0,137814,137814,10994,8/31/2022,12/31/9999,3813,8/7/1970,9,Chicago,Chicago,8,0,904845,0,,0,20239,0,DIF,,0,1,8/7/1970,1,1,0,0,0,0,36.863647,N,-87.83554596,,NONE,0,Bank of Cadiz and Trust Company,CADIZ BCORP INC,404,404,0,0,,5,0,5,0,0,0,8/31/2022,3,,FED,3/31/2026,3/31/2026,1.131819105,1.131819105,1.13,1.13,39.4,39.4,1249619,6/26/2026,0,0,4,Commercial Lending Specialization,KY,KY,1,21221,Kentucky,21,1,9,0,1,0,0,,,,,,,,,,,,,,,,,1,20,20239,13920,www.bankofcadiz.com,42211,"Clarksville, TN-KY",,0,,1,"Clarksville, TN-KY",0,17300,,0,,,,Bank of Cadiz,,,,,,,,,
1,101 E Main St,,180632,NM,41,1,0,13167,12/31/9999,12/31/9999,0,0,STATE,Clarkson,IRVINGTON,21,N,Grayson,8/31/2022,0,149659,149659,15829,8/31/2022,12/31/9999,17645,1/1/1904,9,Chicago,Chicago,8,0,720344,0,1,0,13167,0,DIF,,0,1,1/1/1934,1,1,0,0,0,0,37.49536468,N,-86.22257528,,NONE,0,Bank of Clarkson,FIRST BRECKINRIDGE BANCSHARES,697,697,0,0,,2,0,2,0,0,0,8/31/2022,3,,FDIC,3/31/2026,3/31/2026,1.573105982,2.033527244,2.03,1.57,15.83,15.83,1119404,6/26/2026,0,0,4,Commercial Lending Specialization,KY,KY,1,21085,Kentucky,21,0,9,0,1,0,0,,,,,,,,,,,,,,,,,0,20,13167,8330,WWW.BANKOFCLARKSON.COM,42726,,,,,,,,,,,,,,,,,,,,,,,
1,144 Public Sq,,229782,NM,51,1,0,8775,12/31/9999,12/31/9999,0,0,STATE,Columbia,COLUMBIA,21,N,Adair,8/31/2022,0,208539,208539,10979,8/31/2022,12/31/9999,19795,01/01/1866,9,Chicago,Chicago,8,0,839246,0,,0,8775,0,DIF,,0,1,1/1/1934,1,1,0,0,1,0,37.10281698,N,-85.30675503,,NONE,0,Bank of Columbia,COLUMBIA BANCSHARES INC,1315,1315,0,0,,3,0,3,0,0,0,8/31/2022,3,,FDIC,3/31/2026,3/31/2026,2.28781694,2.28781694,2.29,2.29,26.73,26.73,1132140,6/26/2026,0,0,2,Agricultural Specialization,KY,KY,1,21001,Kentucky,21,1,9,0,1,0,0,,,,,,,,,,,,,,,,,0,0,8775,5588,www.bankcolumbia.com,42728,,,,,,,,,,,,,,,,,,,,,,,
1,109 S Main St,,289238,NM,51,1,14540,296,12/31/9999,12/31/9999,0,0,STATE,Brownsville,BROWNSVILLE,21,N,Edmonson,8/31/2022,0,251062,251062,10546,8/31/2022,12/31/9999,25494,1/1/1925,9,Chicago,Chicago,8,0,903240,0,,0,296,0,DIF,,0,1,1/1/1934,1,1,0,0,0,0,37.19242401,N,-86.26763202,,NONE,0,Bank of Edmonson County,EDMONSON BANCSHARES INC,1023,1023,0,0,,3,0,3,0,0,0,8/31/2022,3,,FDIC,3/31/2026,3/31/2026,1.431066953,1.48142708,1.48,1.43,16.09,16.09,2155397,6/26/2026,0,0,8,All Other Under 1 Billion,KY,KY,1,21061,Kentucky,21,1,9,0,1,0,0,,,,,,,,,,,,,,,,,0,0,296,239,www.bankofedmonson.com,42210,"Bowling Green, KY",,0,,1,"Bowling Green, KY",0,14540,"Bowling Green-Glasgow, KY",1,150,,,,,,,,,,,,
