ACTIVE,ADDRESS,ADDRESS2,ASSET,BKCLASS,CALLFORM,CB,CBSA,CBSA_DIV,CBSA_DIV_FLG,CBSA_DIV_NO,CBSA_METRO,CBSA_METRO_FLG,CBSA_METRO_NAME,CBSA_MICRO_FLG,CBSA_NO,CERT,CFPBEFFDTE,CFPBENDDTE,CFPBFLAG,CHARTER,CHRTAGNT,CITY,CITYHCR,CLCODE,CONSERVE,COUNTY,CSA,CSA_FLG,CSA_NO,DATEUPDT,DENOVO,DEP,DEPDOM,DOCKET,EFFDATE,ENDEFYMD,EQ,ESTYMD,FDICDBS,FDICREGN,FDICSUPV,FED,FEDCHRTR,FED_RSSD,FORM31,HCTMULT,IBA,ID,INACTIVE,INSAGNT1,INSAGNT2,INSBIF,INSCOML,INSDATE,INSDIF,INSFDIC,INSSAIF,INSSAVE,INSTAG,INSTCRCD,LATITUDE,LAW_SASSER_FLG,LONGITUDE,MDI_STATUS_CODE,MDI_STATUS_DESC,MUTUAL,NAME,NAMEHCR,NETINC,NETINCQ,NEWCERT,OAKAR,OCCDIST,OFFDOM,OFFFOR,OFFICES,OFFOA,OI,PARCERT,PRIORNAME1,PROCDATE,QBPRCOML,REGAGENT2,REGAGNT,REPDTE,RISDATE,ROA,ROAPTX,ROAPTXQ,ROAQ,ROE,ROEQ,RSSDHCR,RUNDATE,S10T250B,SASSER,SPECGRP,SPECGRPN,STALP,STALPHCR,STCHRTR,STCNTY,STNAME,STNUM,SUBCHAPS,SUPRV_FD,SZ100,SZ100T1B,SZ1BT10B,SZ250BP,TE01N528,TE01N529,TE02N528,TE02N529,TE03N528,TE03N529,TE04N528,TE04N529,TE05N528,TE05N529,TE06N528,TE06N529,TE07N528,TE08N528,TE09N528,TE10N528,TRACT,TRUST,ULTCERT,UNINUM,WEBADDR,ZIP,PRIORNAME2,OCCDISTDESC,PRIORNAME3,CHANGEC1,CHANGEC2,PRIORNAME4,PRIORNAME5,PRIORNAME6,PRIORNAME7,CHANGEC3
1,100 N Michigan St Ste B,,9110853,SM,41,0,"South Bend-Mishawaka, IN-MI",,0,,43780,1,"South Bend-Mishawaka, IN-MI",0,43780,9087,12/31/9999,12/31/9999,0,0,STATE,South Bend,SOUTH BEND,13,N,St. Joseph,"South Bend-Elkhart-Mishawaka, IN-MI",1,515,8/31/2022,0,7228098,7228098,10250,8/31/2022,12/31/9999,1232524,1/1/1922,9,Chicago,Chicago,7,0,991340,0,,0,9087,0,DIF,,0,1,1/1/1934,1,1,0,0,0,0,41.676828,N,-86.24981704,,NONE,0,1st Source Bank,1ST SOURCE CORP,41528,41528,0,0,,81,0,81,0,0,0,First Bank and Trust Company of South Bend,8/31/2022,3,,FED,3/31/2026,3/31/2026,1.829074088,2.346110803,2.35,1.83,13.55,13.55,1199602,6/26/2026,0,0,4,Commercial Lending Specialization,IN,IN,1,18141,Indiana,18,0,9,0,0,1,0,,,,,,,,,,,,,,,,,1,10,9087,5818,www.1stsource.com,46601,,,,,,,,,,
1,4800 Fashion Square Blvd,,484231,NM,51,1,"Saginaw, MI",,0,,40980,1,"Saginaw, MI",0,40980,57626,12/31/9999,12/31/9999,0,0,STATE,Saginaw,SAGINAW,21,N,Saginaw,"Saginaw-Midland-Bay City, MI",1,474,8/31/2022,0,424929,424929,0,8/31/2022,12/31/9999,57161,4/12/2004,9,Chicago,Chicago,7,0,3223305,0,,0,57626,0,DIF,,0,1,4/12/2004,1,1,0,0,0,0,43.47691798,N,-83.96962396,,NONE,0,1st State Bank,1ST STATE FINANCIAL LTD,1651,1651,0,0,,5,0,5,0,0,0,,8/31/2022,3,,FDIC,3/31/2026,3/31/2026,1.369143073,1.720758253,1.72,1.37,11.62,11.62,3223293,6/26/2026,0,0,4,Commercial Lending Specialization,MI,MI,1,26145,Michigan,26,0,9,0,1,0,0,,,,,,,,,,,,,,,,,0,0,57626,418761,www.1ststate.bank,48604,,,,,,,,,,
1,10564 Coy St,,317891,NM,51,1,,,,,0,,,,,17622,12/31/9999,12/31/9999,0,0,STATE,Alden,,21,N,Antrim,,,,10/24/2022,0,276287,276287,12071,10/9/2022,12/31/9999,39513,1/1/1934,9,Chicago,Chicago,7,0,388744,0,,0,17622,0,DIF,,0,1,6/22/1956,1,1,0,0,0,0,44.88004698,N,-85.27705099,,NONE,0,Alden State Bank,,1341,1341,0,0,,4,0,4,0,0,0,,10/24/2022,3,,FDIC,3/31/2026,3/31/2026,1.698078265,2.183062587,2.18,1.7,13.72,13.72,,6/26/2026,0,0,5,Mortgage Lending Specialization,MI,,1,26009,Michigan,26,0,9,0,1,0,0,,,,,,,,,,,,,,,,,0,0,17622,11593,www.alden.bank,49612,,,,,,,,,,
1,417 S Main St,,159724,SM,51,1,"Jackson, MI",,0,,27100,1,"Jackson, MI",0,27100,1008,12/31/9999,12/31/9999,0,0,STATE,Brooklyn,ANN ARBOR,13,N,Jackson,,0,,8/31/2022,0,133330,133330,0,8/31/2022,12/31/9999,19003,10/1/1907,9,Chicago,Chicago,7,0,382742,0,,0,1008,0,DIF,,0,1,1/1/1934,1,1,0,0,0,0,42.09762699,N,-84.24716302,,NONE,0,Bank Michigan,BANK MICHIGAN FINANCIAL CORP,176,176,0,0,,3,0,3,0,0,0,OSB Community Bank,8/31/2022,3,,FED,3/31/2026,3/31/2026,0.449453984,0.574586059,0.57,0.45,3.71,3.71,5620971,6/26/2026,0,0,4,Commercial Lending Specialization,MI,MI,1,26075,Michigan,26,0,9,0,1,0,0,,,,,,,,,,,,,,,,,0,0,1008,667,http://www.bankmichigan.bank,49230,The Onsted State Bank,,,,,,,,,
1,100 N Tryon St,,2672192000,N,31,0,"Charlotte-Concord-Gastonia, NC-SC",,0,,16740,1,"Charlotte-Concord-Gastonia, NC-SC",0,16740,3510,7/21/2011,12/31/9999,1,13044,OCC,Charlotte,CHARLOTTE,3,N,Mecklenburg,"Charlotte-Concord, NC-SC",1,172,8/31/2022,0,2128004000,1991308000,0,8/31/2022,12/31/9999,241710000,10/17/1904,5,Atlanta,Washington,5,1,480228,1,1,0,3510,0,DIF,,0,1,1/1/1934,1,1,0,0,0,0,35.22701499,N,-80.84204503,,NONE,0,"Bank of America, National Association",BANK OF AMERICA CORP,7417000,7417000,0,0,6,3610,229,3830,0,0,0,Bank of America National Trust and Savings Association,8/31/2022,2,,OCC,3/31/2026,3/31/2026,1.117646117,1.401841961,1.4,1.12,12.16,12.16,1073757,6/26/2026,0,0,9,All Other Over 1 Billion,NC,NC,0,37119,North Carolina,37,0,16,0,0,0,1,www.ml.com,Bank of America,www.merrilledge.com,Bank of America Merrill Lynch,www.mymerrill.com,BofA,privatebank.bankofamerica.com,BofAML,promo.bankofamerica.com,Merrill,secure.bankofamerica.com,Merrill Lynch,about.bankofamerica.com,promotions.bankofamerica.com,benefits.ml.com,olui2.fs.ml.com,1,10,3510,2238,www.bankofamerica.com,28202,,,,,,,,,,
1,125 S 5th Ave,,3329445,NM,41,1,"Ann Arbor, MI",,0,,11460,1,"Ann Arbor, MI",0,11460,34120,12/31/9999,12/31/9999,0,0,STATE,Ann Arbor,ANN ARBOR,21,N,Washtenaw,"Detroit-Warren-Ann Arbor, MI",1,220,8/31/2022,0,2738030,2738030,14546,8/31/2022,12/31/9999,481038,1/16/1996,9,Chicago,Chicago,7,0,2390929,0,,0,34120,0,DIF,,0,1,1/16/1996,1,1,0,0,0,0,42.280615,N,-83.74559304,,NONE,0,Bank of Ann Arbor,ARBOR BCORP INC,15886,15886,0,0,,19,0,19,0,0,0,,8/31/2022,3,,FDIC,3/31/2026,3/31/2026,1.905303901,2.372934514,2.37,1.91,13.28,13.28,2454380,6/26/2026,0,0,4,Commercial Lending Specialization,MI,MI,1,26161,Michigan,26,0,9,0,0,1,0,,,,,,,,,,,,,,,,,1,10,34120,56263,www.bankofannarbor.com,48104,,,,,,,,,,
1,123 S Main St,,329016,NM,41,1,"Little Rock-North Little Rock-Conway, AR",,0,,30780,1,"Little Rock-North Little Rock-Conway, AR",0,30780,13303,12/31/9999,12/31/9999,0,0,STATE,England,ENGLAND,21,N,Lonoke,"Little Rock-North Little Rock, AR",1,340,8/31/2022,0,250565,250565,12297,8/31/2022,12/31/9999,65102,08/08/1898,13,Dallas,Dallas,8,0,244149,0,,0,13303,0,DIF,,0,1,1/1/1934,1,1,0,0,0,0,34.54506284,N,-91.87379369,,NONE,0,Bank of England,MHBC INVESTMENTS PARTNERSHIP I LLLP,339,339,0,0,,151,0,151,0,0,0,,8/31/2022,5,,FDIC,3/31/2026,3/31/2026,0.412384929,0.543764199,0.54,0.41,2.08,2.08,2795083,6/26/2026,0,0,7,Other Specialized Under 1 Billion,AR,AR,1,5085,Arkansas,5,0,13,0,1,0,0,,,,,,,,,,,,,,,,,0,0,13303,8411,www.bankofengland-ar.com,72046,,,,,,,,,,
1,9840 Main St,,150062,NM,51,1,,,,,0,,,,,15585,12/31/9999,12/31/9999,0,0,STATE,Bay Port,BAY PORT,21,N,Huron,,,,8/31/2022,0,133323,133323,14349,8/31/2022,12/31/9999,16041,3/1/1938,9,Chicago,Chicago,7,0,961446,0,,0,15585,0,DIF,,0,1,3/3/1938,1,1,0,0,1,0,43.84944798,N,-83.37485199,,NONE,0,Bay Port State Bank,BAY PORT FINANCIAL CORP,470,470,0,0,,4,0,4,0,0,0,Bayport State Bank,8/31/2022,3,,FDIC,3/31/2026,3/31/2026,1.239516852,1.569175589,1.57,1.24,11.82,11.82,2389978,6/26/2026,0,0,2,Agricultural Specialization,MI,MI,1,26063,Michigan,26,0,9,0,1,0,0,,,,,,,,,,,,,,,,,0,0,15585,9872,https://www.bayportstatebank.com,48720,,,,,,,,,,
1,104 S 10th St,,175122,NM,51,1,"Escanaba, MI",,0,,0,0,,1,21540,1092,12/31/9999,12/31/9999,0,0,STATE,Gladstone,GLADSTONE,21,N,Delta,,0,,8/31/2022,0,147582,147582,9679,8/31/2022,12/31/9999,17197,7/1/1912,9,Chicago,Chicago,9,0,242958,0,,0,1092,0,DIF,,0,1,1/1/1934,1,1,0,0,0,0,45.84612578,N,-87.02183545,,NONE,0,Baybank,BAYBANK CORP,607,607,0,0,,3,0,3,0,0,0,BayBank,8/31/2022,3,,FDIC,3/31/2026,3/31/2026,1.412058913,1.756350049,1.76,1.41,14.31,14.31,2533070,6/26/2026,0,0,4,Commercial Lending Specialization,MI,MI,1,26041,Michigan,26,0,9,0,1,0,0,,,,,,,,,,,,,,,,,0,0,1092,737,http://baybank.us,49837,Gladstone State Bank,,,,,,,,,
1,204 E Jefferson St,,118951,SM,51,1,"Adrian, MI",,0,,0,0,,1,10300,976,12/31/9999,12/31/9999,0,0,STATE,Blissfield,BLISSFIELD,13,N,Lenawee,"Detroit-Warren-Ann Arbor, MI",1,220,8/31/2022,0,109511,109511,10332,8/31/2022,12/31/9999,9330,05/24/1873,9,Chicago,Chicago,7,0,937843,0,,0,976,0,DIF,,0,1,1/1/1934,1,1,0,0,1,0,41.830498,N,-83.86161098,,NONE,0,Blissfield State Bank,BLISSFIELD BANK CORP,361,361,0,0,,1,0,1,0,0,0,The Blissfield State Bank,8/31/2022,3,,FED,3/31/2026,3/31/2026,1.214108547,1.214108547,1.21,1.21,15.32,15.32,1245648,6/26/2026,0,0,2,Agricultural Specialization,MI,MI,1,26091,Michigan,26,1,9,0,1,0,0,,,,,,,,,,,,,,,,,0,0,976,642,www.blissfieldstate.com,49228,,,,,,,,,,
