ACTIVE,ADDRESS,ADDRESS2,ASSET,BKCLASS,CALLFORM,CB,CBSA,CBSA_DIV,CBSA_DIV_FLG,CBSA_DIV_NO,CBSA_METRO,CBSA_METRO_FLG,CBSA_METRO_NAME,CBSA_MICRO_FLG,CBSA_NO,CERT,CFPBEFFDTE,CFPBENDDTE,CFPBFLAG,CHARTER,CHRTAGNT,CITY,CITYHCR,CLCODE,CONSERVE,COUNTY,CSA,CSA_FLG,CSA_NO,DATEUPDT,DENOVO,DEP,DEPDOM,DOCKET,EFFDATE,ENDEFYMD,EQ,ESTYMD,FDICDBS,FDICREGN,FDICSUPV,FED,FEDCHRTR,FED_RSSD,FORM31,HCTMULT,IBA,ID,INACTIVE,INSAGNT1,INSAGNT2,INSBIF,INSCOML,INSDATE,INSDIF,INSFDIC,INSSAIF,INSSAVE,INSTAG,INSTCRCD,LATITUDE,LAW_SASSER_FLG,LONGITUDE,MDI_STATUS_CODE,MDI_STATUS_DESC,MUTUAL,NAME,NAMEHCR,NETINC,NETINCQ,NEWCERT,OAKAR,OCCDIST,OFFDOM,OFFFOR,OFFICES,OFFOA,OI,PARCERT,PRIORNAME1,PROCDATE,QBPRCOML,REGAGENT2,REGAGNT,REPDTE,RISDATE,ROA,ROAPTX,ROAPTXQ,ROAQ,ROE,ROEQ,RSSDHCR,RUNDATE,S10T250B,SASSER,SPECGRP,SPECGRPN,STALP,STALPHCR,STCHRTR,STCNTY,STNAME,STNUM,SUBCHAPS,SUPRV_FD,SZ100,SZ100T1B,SZ1BT10B,SZ250BP,TE01N528,TE01N529,TE02N528,TE02N529,TE03N528,TE03N529,TE04N528,TE04N529,TE05N528,TE05N529,TE06N528,TE06N529,TE07N528,TE08N528,TE09N528,TE10N528,TRACT,TRUST,ULTCERT,UNINUM,WEBADDR,ZIP,PRIORNAME2,PRIORNAME3,OCCDISTDESC,CHANGEC1,CHANGEC2,CHANGEC3,CHANGEC4,CHANGEC5,CHANGEC6,PRIORNAME4,PRIORNAME5,PRIORNAME6,PRIORNAME7,FEDDESC
1,100 N Michigan St Ste B,,9110853,SM,41,0,"South Bend-Mishawaka, IN-MI",,0,,43780,1,"South Bend-Mishawaka, IN-MI",0,43780,9087,12/31/9999,12/31/9999,0,0,STATE,South Bend,SOUTH BEND,13,N,St. Joseph,"South Bend-Elkhart-Mishawaka, IN-MI",1,515,8/31/2022,0,7228098,7228098,10250,8/31/2022,12/31/9999,1232524,1/1/1922,9,Chicago,Chicago,7,0,991340,0,,0,9087,0,DIF,,0,1,1/1/1934,1,1,0,0,0,0,41.676828,N,-86.24981704,,NONE,0,1st Source Bank,1ST SOURCE CORP,41528,41528,0,0,,81,0,81,0,0,0,First Bank and Trust Company of South Bend,8/31/2022,3,,FED,3/31/2026,3/31/2026,1.829074088,2.346110803,2.35,1.83,13.55,13.55,1199602,6/26/2026,0,0,4,Commercial Lending Specialization,IN,IN,1,18141,Indiana,18,0,9,0,0,1,0,,,,,,,,,,,,,,,,,1,10,9087,5818,www.1stsource.com,46601,,,,,,,,,,,,,,
1,101 W Montgomery St.,,458664,NM,51,1,,,,,0,,,,,197,12/31/9999,12/31/9999,0,0,STATE,Francesville,FRANCESVILLE,21,N,Pulaski,,,,6/3/2022,0,403057,403057,9807,8/29/2021,12/31/9999,46978,7/3/1930,9,Chicago,Chicago,7,0,493741,0,,0,197,0,DIF,,0,1,1/1/1934,1,1,0,0,1,0,40.98543699,N,-86.882266,,NONE,0,Alliance Bank,ALLIANCE BCORP,2843,2843,0,0,,7,0,7,0,0,0,Peoples State Bank of Francesville,6/3/2022,3,,FDIC,3/31/2026,3/31/2026,2.470452652,2.470452652,2.47,2.47,24.72,24.72,1138405,6/26/2026,0,0,2,Agricultural Specialization,IN,IN,1,18131,Indiana,18,1,9,0,1,0,0,,,,,,,,,,,,,,,,,1,10,197,158,www.myalliancebank.com,47946,,,,,,,,,,,,,,
1,106 E Hudson St,,986383,NM,41,1,,,,,0,,,,,15423,12/31/9999,12/31/9999,0,0,STATE,Wellsville,SAINT LOUIS,21,N,Montgomery,,,,7/15/2024,0,754621,754621,0,6/30/2024,12/31/9999,95658,03/15/1880,11,Kansas City,Kansas City,8,0,568359,0,,0,15423,0,DIF,,0,1,9/14/1936,1,1,0,0,0,0,39.07108745,N,-91.56883511,,NONE,0,American Bank of Freedom,EVERGREEN BANCSHARES INC,1343,1343,0,0,,12,0,12,0,0,0,Bank of Montgomery County,7/15/2024,4,,FDIC,3/31/2026,3/31/2026,0.548121597,0.713415154,0.71,0.55,5.65,5.65,3450521,6/26/2026,0,0,4,Commercial Lending Specialization,MO,MO,1,29139,Missouri,29,0,11,0,1,0,0,www.americanbankofmissouri.bank,,,,,,,,,,,,,,,,0,0,15423,9739,www.americanbankoffreedom.bank,63384,Bank of Wellsville,American Bank of Missouri,,,,,,,,,,,,
1,7880 Wicker Ave,,376536,NM,51,1,"Chicago-Naperville-Elgin, IL-IN-WI","Gary, IN",1,23844,16980,1,"Chicago-Naperville-Elgin, IL-IN-WI",0,16980,29878,12/31/9999,12/31/9999,0,0,STATE,Saint John,SAINT JOHN,21,N,Lake,"Chicago-Naperville, IL-IN-WI",1,176,8/31/2022,0,339118,339118,4247,8/31/2022,12/31/9999,34947,1/1/1910,9,Chicago,Chicago,7,0,1010574,0,,0,29878,0,DIF,,0,1,8/9/1989,1,1,0,0,0,0,41.47562699,N,-87.47135696,,NONE,0,American Community Bank of Indiana,AMB FINANCIAL CORP,1104,1104,0,0,3,5,0,5,0,0,0,"American Savings, FSB",8/31/2022,3,,FDIC,3/31/2026,3/31/2026,1.166077599,1.56110751,1.56,1.17,12.83,12.83,3848267,6/26/2026,0,0,4,Commercial Lending Specialization,IN,IN,1,18089,Indiana,18,0,9,0,1,0,0,,,,,,,,,,,,,,,,,0,0,29878,42712,www.acbanker.com,46373,American Savings and Loan Association,,CENTRAL DISTRICT,,,,,,,,,,,
1,100 N Tryon St,,2672192000,N,31,0,"Charlotte-Concord-Gastonia, NC-SC",,0,,16740,1,"Charlotte-Concord-Gastonia, NC-SC",0,16740,3510,7/21/2011,12/31/9999,1,13044,OCC,Charlotte,CHARLOTTE,3,N,Mecklenburg,"Charlotte-Concord, NC-SC",1,172,8/31/2022,0,2128004000,1991308000,0,8/31/2022,12/31/9999,241710000,10/17/1904,5,Atlanta,Washington,5,1,480228,1,1,0,3510,0,DIF,,0,1,1/1/1934,1,1,0,0,0,0,35.22701499,N,-80.84204503,,NONE,0,"Bank of America, National Association",BANK OF AMERICA CORP,7417000,7417000,0,0,6,3610,229,3830,0,0,0,Bank of America National Trust and Savings Association,8/31/2022,2,,OCC,3/31/2026,3/31/2026,1.117646117,1.401841961,1.4,1.12,12.16,12.16,1073757,6/26/2026,0,0,9,All Other Over 1 Billion,NC,NC,0,37119,North Carolina,37,0,16,0,0,0,1,www.ml.com,Bank of America,www.merrilledge.com,Bank of America Merrill Lynch,www.mymerrill.com,BofA,privatebank.bankofamerica.com,BofAML,promo.bankofamerica.com,Merrill,secure.bankofamerica.com,Merrill Lynch,about.bankofamerica.com,promotions.bankofamerica.com,benefits.ml.com,olui2.fs.ml.com,1,10,3510,2238,www.bankofamerica.com,28202,,,,,,,,,,,,,,
1,123 S Main St,,329016,NM,41,1,"Little Rock-North Little Rock-Conway, AR",,0,,30780,1,"Little Rock-North Little Rock-Conway, AR",0,30780,13303,12/31/9999,12/31/9999,0,0,STATE,England,ENGLAND,21,N,Lonoke,"Little Rock-North Little Rock, AR",1,340,8/31/2022,0,250565,250565,12297,8/31/2022,12/31/9999,65102,08/08/1898,13,Dallas,Dallas,8,0,244149,0,,0,13303,0,DIF,,0,1,1/1/1934,1,1,0,0,0,0,34.54506284,N,-91.87379369,,NONE,0,Bank of England,MHBC INVESTMENTS PARTNERSHIP I LLLP,339,339,0,0,,151,0,151,0,0,0,,8/31/2022,5,,FDIC,3/31/2026,3/31/2026,0.412384929,0.543764199,0.54,0.41,2.08,2.08,2795083,6/26/2026,0,0,7,Other Specialized Under 1 Billion,AR,AR,1,5085,Arkansas,5,0,13,0,1,0,0,,,,,,,,,,,,,,,,,0,0,13303,8411,www.bankofengland-ar.com,72046,,,,,,,,,,,,,,
1,105 N Range St,,278826,NM,51,1,,,,,0,,,,,16201,12/31/9999,12/31/9999,0,0,STATE,Wolcott,WOLCOTT,21,N,White,,,,8/31/2022,0,233734,233734,0,8/31/2022,12/31/9999,28939,10/16/1944,9,Chicago,Chicago,7,0,729842,0,,0,16201,0,DIF,,0,1,10/16/1944,1,1,0,0,1,0,40.75896899,N,-87.04124103,,NONE,0,Bank of Wolcott,WOLCOTT BCORP,1064,1064,0,0,,3,0,3,0,0,0,,8/31/2022,3,,FDIC,3/31/2026,3/31/2026,1.53816407,1.53816407,1.54,1.54,14.89,14.89,1210208,6/26/2026,0,0,2,Agricultural Specialization,IN,IN,1,18181,Indiana,18,1,9,0,1,0,0,,,,,,,,,,,,,,,,,1,10,16201,10402,http://www.bankofwolcott.com,47995,,,,,,,,,,,,,,
1,3201 Banterra Dr,,3260267,NM,51,0,"Carbondale-Marion, IL",,0,,16060,1,"Carbondale-Marion, IL",0,16060,17514,12/31/9999,12/31/9999,0,0,STATE,Marion,ELDORADO,21,N,Williamson,,0,,8/31/2022,0,3005844,3005844,12376,8/31/2022,12/31/9999,213925,11/26/1955,9,Chicago,Chicago,8,0,502849,0,,0,17514,0,DIF,,0,1,11/26/1955,1,1,0,0,0,0,37.74580698,N,-88.984667,,NONE,0,Banterra Bank,BANTERRA CORP,6884,6884,0,0,,43,0,43,0,0,0,Banterra Bank of Marion,8/31/2022,3,,FDIC,3/31/2026,3/31/2026,0.840922021,0.988120022,0.99,0.84,12.79,12.79,3202832,6/26/2026,0,0,4,Commercial Lending Specialization,IL,IL,1,17199,Illinois,17,0,9,0,0,1,0,open.banterra.bank,Sun Canyon Bank,suncanyon.bank,,open.suncanyon.bank,,banterra.myebanking.net,,suncanyon.myebanking.net,,,,,,,,0,30,17514,11494,www.banterra.bank,62959,Bank of Egypt,,,,,,,,,,,,,
1,3095 Bath Road,,332904,NM,51,1,"Cincinnati, OH-KY-IN",,0,,17140,1,"Cincinnati, OH-KY-IN",0,17140,8035,12/31/9999,12/31/9999,0,0,STATE,Bath,BATH,21,N,Franklin,"Cincinnati-Wilmington-Maysville, OH-KY-IN",1,178,6/7/2022,0,282188,282188,0,8/29/2021,12/31/9999,17634,10/23/1923,9,Chicago,Chicago,7,0,308340,0,,0,8035,0,DIF,,0,1,1/1/1934,1,1,0,0,1,0,39.50936499,N,-84.86210403,,NONE,0,Bath State Bank,BATH ST BCORP EMPLOYEE STK OWNERSHIP PLAN WITH 401 K PROVISIONS,819,819,0,0,,3,0,3,0,0,0,,6/7/2022,3,,FDIC,3/31/2026,3/31/2026,0.977582155,0.977582155,0.98,0.98,18.46,18.46,5473449,6/26/2026,0,0,2,Agricultural Specialization,IN,IN,1,18047,Indiana,18,1,9,0,1,0,0,,,,,,,,,,,,,,,,,1,10,8035,5115,www.bathstatebank.com,47010,,,,,,,,,,,,,,
1,1030 15th St,,285547,SI,51,1,"Bedford, IN",,0,,0,0,,1,13260,29024,12/31/9999,12/31/9999,0,0,STATE,Bedford,,42,N,Lawrence,"Bloomington-Bedford, IN",1,144,8/31/2022,0,245503,245503,2781,8/31/2022,12/31/9999,28717,7/1/1934,9,Chicago,Chicago,8,0,946274,0,,0,29024,0,DIF,,0,0,8/9/1989,1,1,0,1,0,0,38.86187499,N,-86.48541699,,NONE,1,Bedford Federal Savings Bank,,1079,1079,0,0,3,2,0,2,0,0,0,Bedford Federal Savings and Loan Association,8/31/2022,3,,FDIC,3/31/2026,3/31/2026,1.511230939,1.99583326,2,1.51,15.32,15.32,,6/26/2026,0,0,4,Commercial Lending Specialization,IN,,1,18093,Indiana,18,0,9,0,1,0,0,,,,,,,,,,,,,,,,,0,0,29024,41858,www.bedfed.com,47421,,,CENTRAL DISTRICT,,,,,,,,,,,
