OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTIVE,ADDRESS,ADDRESS2,ASSET,BKCLASS,CALLFORM,CB,CBSA,CBSA_DIV,CBSA_DIV_FLG,CBSA_DIV_NO,CBSA_METRO,CBSA_METRO_FLG,CBSA_METRO_NAME,CBSA_MICRO_FLG,CBSA_NO,CERT,CFPBEFFDTE,CFPBENDDTE,CFPBFLAG,CHARTER,CHRTAGNT,CITY,CITYHCR,CLCODE,CONSERVE,COUNTY,CSA,CSA_FLG,CSA_NO,DATEUPDT,DENOVO,DEP,DEPDOM,DOCKET,EFFDATE,ENDEFYMD,EQ,ESTYMD,FDICDBS,FDICREGN,FDICSUPV,FED,FEDCHRTR,FEDDESC,FED_RSSD,FORM31,HCTMULT,IBA,ID,INACTIVE,INSAGNT1,INSAGNT2,INSBIF,INSCOML,INSDATE,INSDIF,INSFDIC,INSSAIF,INSSAVE,INSTAG,INSTCRCD,LATITUDE,LAW_SASSER_FLG,LONGITUDE,MDI_STATUS_CODE,MDI_STATUS_DESC,MUTUAL,NAME,NAMEHCR,NETINC,NETINCQ,NEWCERT,OAKAR,OCCDIST,OFFDOM,OFFFOR,OFFICES,OFFOA,OI,PARCERT,PROCDATE,QBPRCOML,REGAGENT2,REGAGNT,REPDTE,RISDATE,ROA,ROAPTX,ROAPTXQ,ROAQ,ROE,ROEQ,RSSDHCR,RUNDATE,S10T250B,SASSER,SPECGRP,SPECGRPN,STALP,STALPHCR,STCHRTR,STCNTY,STNAME,STNUM,SUBCHAPS,SUPRV_FD,SZ100,SZ100T1B,SZ1BT10B,SZ250BP,TE01N528,TE01N529,TE02N528,TE02N529,TE03N528,TE03N529,TE04N528,TE04N529,TE05N528,TE05N529,TE06N528,TE06N529,TE07N528,TE08N528,TE09N528,TE10N528,TRACT,TRUST,ULTCERT,UNINUM,WEBADDR,ZIP,PRIORNAME1,PRIORNAME2,PRIORNAME3,CHANGEC1,CHANGEC2,OCCDISTDESC,CHANGEC3,CHANGEC4,CHANGEC5,CHANGEC6,PRIORNAME4,PRIORNAME5,PRIORNAME6
1,6920 220th St Sw,Ste 300,3203414,SI,51,1,"Seattle-Tacoma-Bellevue, WA","Seattle-Bellevue-Kent, WA",1,42644,42660,1,"Seattle-Tacoma-Bellevue, WA",0,42660,57633,12/31/9999,12/31/9999,0,0,STATE,Mountlake Terrace,MOUNTLAKE TERRACE,41,N,Snohomish,"Seattle-Tacoma, WA",1,500,7/28/2023,0,2658034,2658034,0,2/27/2023,12/31/9999,354984,4/1/2004,14,San Francisco,San Francisco,12,0,SAN FRANCISCO,1018927,0,,0,57633,0,DIF,,0,0,4/1/2004,1,1,0,1,0,0,47.79917598,N,-122.327266,,NONE,0,1st Security Bank of Washington,FS BCORP INC,8602,8602,0,0,,30,0,31,0,0,0,7/28/2023,6,,FDIC,3/31/2026,3/31/2026,1.075317711,1.358710556,1.36,1.08,9.77,9.77,4347208,6/26/2026,0,0,4,Commercial Lending Specialization,WA,WA,1,53061,Washington,53,0,14,0,0,1,0,www.qwickrate.com,,www.fsbwa.com/personal-checking-accounts#open-an-account,,,,,,,,,,,,,,0,0,57633,418874,WWW.FSBWA.com,98043,,,,,,,,,,,,,
1,100 N Tryon St,,2672192000,N,31,0,"Charlotte-Concord-Gastonia, NC-SC",,0,,16740,1,"Charlotte-Concord-Gastonia, NC-SC",0,16740,3510,7/21/2011,12/31/9999,1,13044,OCC,Charlotte,CHARLOTTE,3,N,Mecklenburg,"Charlotte-Concord, NC-SC",1,172,8/31/2022,0,2128004000,1991308000,0,8/31/2022,12/31/9999,241710000,10/17/1904,5,Atlanta,Washington,5,1,,480228,1,1,0,3510,0,DIF,,0,1,1/1/1934,1,1,0,0,0,0,35.22701499,N,-80.84204503,,NONE,0,"Bank of America, National Association",BANK OF AMERICA CORP,7417000,7417000,0,0,6,3610,229,3830,0,0,0,8/31/2022,2,,OCC,3/31/2026,3/31/2026,1.117646117,1.401841961,1.4,1.12,12.16,12.16,1073757,6/26/2026,0,0,9,All Other Over 1 Billion,NC,NC,0,37119,North Carolina,37,0,16,0,0,0,1,www.ml.com,Bank of America,www.merrilledge.com,Bank of America Merrill Lynch,www.mymerrill.com,BofA,privatebank.bankofamerica.com,BofAML,promo.bankofamerica.com,Merrill,secure.bankofamerica.com,Merrill Lynch,about.bankofamerica.com,promotions.bankofamerica.com,benefits.ml.com,olui2.fs.ml.com,1,10,3510,2238,www.bankofamerica.com,28202,Bank of America National Trust and Savings Association,,,,,,,,,,,,
1,279 N Main St,,960329,NM,51,1,"Hermiston-Pendleton, OR",,0,,0,0,,1,25840,16243,12/31/9999,12/31/9999,0,0,STATE,Heppner,HEPPNER,21,N,Morrow,,0,,9/27/2023,0,849014,849014,0,8/31/2023,12/31/9999,103868,3/3/1945,14,San Francisco,San Francisco,12,0,SAN FRANCISCO,14865,0,,0,16243,0,DIF,,0,1,3/3/1945,1,1,0,0,1,0,45.35531699,N,-119.554199,,NONE,0,Bank of Eastern Oregon,BEO BCORP,3995,3995,0,0,,22,0,22,0,0,0,9/27/2023,6,,FDIC,3/31/2026,3/31/2026,1.663967145,2.21043145,2.21,1.66,15.54,15.54,2615154,6/26/2026,0,0,2,Agricultural Specialization,OR,OR,1,41049,Oregon,41,0,14,0,1,0,0,,"Bank of Eastern Washington, a branch of Bank of Eastern Oregon",,,,,,,,,,,,,,,0,0,16243,10438,www.beobank.com,97836,,,,,,,,,,,,,
1,123 S Main St,,329016,NM,41,1,"Little Rock-North Little Rock-Conway, AR",,0,,30780,1,"Little Rock-North Little Rock-Conway, AR",0,30780,13303,12/31/9999,12/31/9999,0,0,STATE,England,ENGLAND,21,N,Lonoke,"Little Rock-North Little Rock, AR",1,340,8/31/2022,0,250565,250565,12297,8/31/2022,12/31/9999,65102,08/08/1898,13,Dallas,Dallas,8,0,,244149,0,,0,13303,0,DIF,,0,1,1/1/1934,1,1,0,0,0,0,34.54506284,N,-91.87379369,,NONE,0,Bank of England,MHBC INVESTMENTS PARTNERSHIP I LLLP,339,339,0,0,,151,0,151,0,0,0,8/31/2022,5,,FDIC,3/31/2026,3/31/2026,0.412384929,0.543764199,0.54,0.41,2.08,2.08,2795083,6/26/2026,0,0,7,Other Specialized Under 1 Billion,AR,AR,1,5085,Arkansas,5,0,13,0,1,0,0,,,,,,,,,,,,,,,,,0,0,13303,8411,www.bankofengland-ar.com,72046,,,,,,,,,,,,,
1,300 E Market St,,1289807,NM,51,1,"Aberdeen, WA",,0,,0,0,,1,10140,23041,12/31/9999,12/31/9999,0,0,STATE,Aberdeen,ABERDEEN,21,N,Grays Harbor,,0,,8/31/2022,0,1139158,1139158,10584,8/31/2022,12/31/9999,139245,12/26/1979,14,San Francisco,San Francisco,12,0,SAN FRANCISCO,307679,0,,0,23041,0,DIF,,0,1,12/26/1979,1,1,0,0,0,0,46.976806,N,-123.816213,,NONE,0,Bank of the Pacific,PACIFIC FINANCIAL CORP,3263,3263,0,0,,20,0,20,0,0,0,8/31/2022,6,,FDIC,3/31/2026,3/31/2026,1.01803002,1.268559626,1.27,1.02,9.39,9.39,2560236,6/26/2026,0,0,4,Commercial Lending Specialization,WA,WA,1,53027,Washington,53,0,14,0,0,1,0,,,,,,,,,,,,,,,,,0,0,23041,16132,www.bankofthepacific.com,98520,The Bank of Grays Harbor,,,,,,,,,,,,
1,10 S 1st Ave,,16338071,NM,41,0,"Walla Walla, WA",,0,,47460,1,"Walla Walla, WA",0,47460,28489,4/1/2019,12/31/9999,1,0,STATE,Walla Walla,WALLA WALLA,21,N,Walla Walla,"Kennewick-Richland-Walla Walla, WA",1,313,8/31/2022,0,13928915,13928915,1691,8/31/2022,12/31/9999,1952235,01/01/1890,14,San Francisco,San Francisco,12,0,SAN FRANCISCO,352772,0,,0,28489,0,DIF,,0,1,8/9/1989,1,1,0,0,0,0,46.066476,N,-118.337869,,NONE,0,Banner Bank,BANNER CORP,56492,56492,0,0,,147,0,147,0,0,0,8/31/2022,6,,FDIC,3/31/2026,3/31/2026,1.382661738,1.709750379,1.71,1.38,11.58,11.58,2126977,6/26/2026,1,0,4,Commercial Lending Specialization,WA,WA,1,53071,Washington,53,0,14,0,0,0,0,,,,,,,,,,,,,,,,,0,0,28489,41323,www.bannerbank.com,99362,First Federal Savings and Loan Association,First Savings Bank of Washington,First Federal Savings Bank of Washington,,,,,,,,,,
1,2100 Franklin St,,1973803,NM,51,1,"San Francisco-Oakland-Berkeley, CA","Oakland-Berkeley-Livermore, CA",1,36084,41860,1,"San Francisco-Oakland-Berkeley, CA",0,41860,58490,12/31/9999,12/31/9999,0,0,STATE,Oakland,OAKLAND,21,N,Alameda,"San Jose-San Francisco-Oakland, CA",1,488,5/20/2026,0,1655342,1655342,18032,5/15/2026,12/31/9999,184179,6/27/2007,14,San Francisco,San Francisco,12,0,SAN FRANCISCO,3608751,0,,0,58490,0,DIF,,0,1,6/27/2007,1,1,0,0,0,0,37.81018419,N,-122.2663677,,NONE,0,Beneficial State Bank,BENEFICIAL STATE BCORP INC,-1703,-1703,0,0,4,9,0,9,0,0,0,5/20/2026,6,,FDIC,3/31/2026,3/31/2026,-0.344250693,-0.484740552,-0.48,-0.34,-3.67,-3.67,3842630,6/26/2026,0,0,4,Commercial Lending Specialization,CA,CA,1,6001,California,6,0,14,0,0,1,0,,,,,,,,,,,,,,,,,0,0,58490,453951,www.beneficialstatebank.com,94612,beneficial state bank,"OneCalifornia Bank, FSB","One PacificCoast Bank, FSB",520,520,WESTERN DISTRICT,,,,,,,
1,320 S Canal St,,251964731,N,31,0,"Chicago-Naperville-Elgin, IL-IN-WI","Chicago-Naperville-Evanston, IL",1,16984,16980,1,"Chicago-Naperville-Elgin, IL-IN-WI",0,16980,16571,7/21/2011,12/31/9999,1,14583,OCC,Chicago,MONTREAL,3,N,Cook,"Chicago-Naperville, IL-IN-WI",1,176,6/9/2025,0,193961053,193961053,0,5/19/2025,12/31/9999,37611001,5/17/1947,9,Chicago,Washington,7,1,,75633,1,1,0,16571,0,DIF,,0,1,5/17/1947,1,1,0,0,0,0,41.877258,N,-87.64035801,,NONE,0,BMO Bank National Association,BANK OF MONTREAL,732963,732963,0,0,6,990,0,990,0,0,0,6/9/2025,3,,OCC,3/31/2026,3/31/2026,1.163343587,1.523588812,1.52,1.16,7.82,7.82,1231333,6/26/2026,0,0,4,Commercial Lending Specialization,IL,0,0,17031,Illinois,17,0,16,0,0,0,1,NA,BMO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10,16571,10718,www.bmo.com,60606,"Harris Bank Glencoe-Northbrook, National Association",Harris National Association,BMO Harris Bank National Association,820,820,,820,820,820,820,Glencoe National Bank,,
1,275 Sw 3rd St,,810448,NM,51,1,"Corvallis, OR",,0,,18700,1,"Corvallis, OR",0,18700,17809,12/31/9999,12/31/9999,0,0,STATE,Corvallis,CORVALLIS,21,N,Benton,"Portland-Vancouver-Salem, OR-WA",1,440,8/31/2022,0,686159,686159,11785,8/31/2022,12/31/9999,86737,10/5/1957,14,San Francisco,San Francisco,12,0,SAN FRANCISCO,98463,0,,0,17809,0,DIF,,0,1,10/5/1957,1,1,0,0,1,0,44.56246698,N,-123.261508,,NONE,0,Citizens Bank,CITIZENS BCORP,619,619,0,0,,15,0,14,0,0,0,8/31/2022,6,,FDIC,3/31/2026,3/31/2026,0.301550378,0.359522099,0.36,0.3,2.84,2.84,2519038,6/26/2026,0,0,2,Agricultural Specialization,OR,OR,1,41003,Oregon,41,0,14,0,1,0,0,,,,,,,,,,,,,,,,,0,0,17809,11757,www.citizensEbank.com,97333,Citizens Bank of Corvallis,,,,,,,,,,,,
1,38975 Proctor Blvd,,263478,NM,51,1,"Portland-Vancouver-Hillsboro, OR-WA",,0,,38900,1,"Portland-Vancouver-Hillsboro, OR-WA",0,38900,9486,12/31/9999,12/31/9999,0,0,STATE,Sandy,SANDY,21,N,Clackamas,"Portland-Vancouver-Salem, OR-WA",1,440,8/31/2022,0,226923,226923,10086,8/31/2022,12/31/9999,31219,1/31/1911,14,San Francisco,San Francisco,12,0,SAN FRANCISCO,641579,0,,0,9486,0,DIF,,0,1,1/1/1934,1,1,0,0,0,0,45.39754698,N,-122.262323,,NONE,0,Clackamas County Bank,CCB FINANCIAL CORP,561,561,0,0,,4,0,4,0,0,0,8/31/2022,6,,FDIC,3/31/2026,3/31/2026,0.850800849,0.911464011,0.91,0.85,7.18,7.18,1246690,6/26/2026,0,0,4,Commercial Lending Specialization,OR,OR,1,41005,Oregon,41,1,14,0,1,0,0,,,,,,,,,,,,,,,,,0,0,9486,6094,www.clackamascountybank.com,97055,,,,,,,,,,,,,
1,445 Se Main St,,66011146,NM,41,0,"Roseburg, OR",,0,,0,0,,1,40700,17266,7/21/2011,12/31/9999,1,0,STATE,Roseburg,TACOMA,21,N,Douglas,,0,,9/23/2025,0,53614966,53614966,9866,9/1/2025,12/31/9999,7965503,11/9/1953,14,San Francisco,San Francisco,12,0,SAN FRANCISCO,143662,0,,0,17266,0,DIF,,0,1,11/9/1953,1,1,0,0,0,0,43.20966402,N,-123.34251,,NONE,0,Columbia Bank,COLUMBIA BANKING SYSTEM INC,198193,198193,0,0,,376,0,377,0,0,0,9/23/2025,6,,FDIC,3/31/2026,3/31/2026,1.193641634,1.585045852,1.59,1.19,9.84,9.84,2078816,6/26/2026,1,0,4,Commercial Lending Specialization,OR,WA,1,41019,Oregon,41,0,14,0,0,0,0,,,,,,,,,,,,,,,,,1,10,17266,11289,www.columbiabank.com/,97470,Umpqua Bank,South Umpqua State Bank,South Umpqua Bank,810,,,,,,,,,
1,8 3rd St N Ste 200,,12234,SB,51,0,"Great Falls, MT",,0,,24500,1,"Great Falls, MT",0,24500,35510,12/31/9999,12/31/9999,0,716693,OCC,Great Falls,,33,N,Cascade,,0,,8/26/2024,0,500,500,16693,5/3/2024,12/31/9999,9854,1/1/2001,14,San Francisco,San Francisco,9,1,,644954,0,,0,35510,0,DIF,,0,0,1/1/2001,1,1,0,1,0,0,47.50577362,N,-111.3027777,,NONE,0,Davidson Trust Co.,,264,264,0,0,7,13,0,13,0,0,0,8/26/2024,6,,OCC,3/31/2026,3/31/2026,8.493183737,10.87384888,10.87,8.49,10.89,10.89,,6/26/2026,0,0,5,Mortgage Lending Specialization,MT,,0,30013,Montana,30,0,14,1,0,0,0,,,,,,,,,,,,,,,,,1,10,35510,80595,,59401,,,,,,,,,,,,,
1,969 Se 6th St,,628107,SB,51,1,"Grants Pass, OR",,0,,24420,1,"Grants Pass, OR",0,24420,28914,12/31/9999,12/31/9999,0,702610,OCC,Grants Pass,,38,N,Josephine,"Medford-Grants Pass, OR",1,366,8/31/2022,0,544962,544962,2610,8/31/2022,12/31/9999,80794,6/1/1934,14,San Francisco,San Francisco,12,1,SAN FRANCISCO,55970,0,,0,28914,0,DIF,,0,0,8/9/1989,1,1,0,1,0,0,42.43130498,N,-123.330744,,NONE,1,Evergreen Federal Bank,,1222,1222,0,0,4,6,0,6,0,0,0,8/31/2022,6,,OCC,3/31/2026,3/31/2026,0.784997049,0.925679826,0.93,0.78,6.11,6.11,,6/26/2026,0,0,4,Commercial Lending Specialization,OR,,0,41033,Oregon,41,0,14,0,1,0,0,,,,,,,,,,,,,,,,,0,0,28914,41748,www.evergreenfederal.bank,97526,Evergreen Federal Savings and Loan Association,,,,,WESTERN DISTRICT,,,,,,,
1,118 Ne 3rd St,,678962,SL,51,1,"Portland-Vancouver-Hillsboro, OR-WA",,0,,38900,1,"Portland-Vancouver-Hillsboro, OR-WA",0,38900,29624,12/31/9999,12/31/9999,0,703773,OCC,Mcminnville,,38,N,Yamhill,"Portland-Vancouver-Salem, OR-WA",1,440,8/31/2022,0,579831,579831,3773,8/31/2022,12/31/9999,73242,1/1/1922,14,San Francisco,San Francisco,12,1,SAN FRANCISCO,90579,0,,0,29624,0,DIF,,0,0,8/9/1989,1,1,0,1,0,0,45.20978401,N,-123.198877,,NONE,0,First Federal Savings and Loan Association of McMinnville,,740,740,0,0,4,6,0,6,0,0,0,8/31/2022,6,,OCC,3/31/2026,3/31/2026,0.439046024,0.56838661,0.57,0.44,4.04,4.04,,6/26/2026,0,0,8,All Other Under 1 Billion,OR,,0,41071,Oregon,41,0,14,0,1,0,0,,,,,,,,,,,,,,,,,0,0,29624,42458,www.firstfedweb.com,97128,First Federal Savings and Loan Association,,,,,WESTERN DISTRICT,,,,,,,
1,401 N 31st St,,26361352,SM,41,0,"Billings, MT",,0,,13740,1,"Billings, MT",0,13740,1105,6/30/2018,12/31/9999,1,0,STATE,Billings,BILLINGS,13,N,Yellowstone,,0,,5/5/2026,0,22202732,22202732,11071,4/10/2026,12/31/9999,3267869,10/9/1916,14,San Francisco,San Francisco,9,0,,659855,0,,0,1105,0,DIF,,0,1,1/1/1934,1,1,0,0,0,0,45.783412,N,-108.512016,,NONE,0,First Interstate Bank,FIRST INTRST BANCSYSTEM,67293,67293,0,0,,290,0,279,0,0,0,5/5/2026,6,,FED,3/31/2026,3/31/2026,1.017089678,1.309038383,1.31,1.02,8.11,8.11,1123670,6/26/2026,1,0,4,Commercial Lending Specialization,MT,MT,1,30111,Montana,30,0,14,0,0,0,0,,,,,,,,,,,,,,,,,1,10,1105,748,www.firstinterstatebank.com,59101,"First Interstate Bank of Billings, National Association",The First Interstate Bank of Commerce,"Security Bank, N. A.",,,,,,,,Security Trust and Savings Bank,,
