north dakota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTIVE,ADDRESS,ADDRESS2,ASSET,BKCLASS,CALLFORM,CB,CBSA,CBSA_DIV,CBSA_DIV_FLG,CBSA_DIV_NO,CBSA_METRO,CBSA_METRO_FLG,CBSA_METRO_NAME,CBSA_MICRO_FLG,CBSA_NO,CERT,CFPBEFFDTE,CFPBENDDTE,CFPBFLAG,CHANGEC1,CHARTER,CHRTAGNT,CITY,CITYHCR,CLCODE,CONSERVE,COUNTY,CSA,CSA_FLG,CSA_NO,DATEUPDT,DENOVO,DEP,DEPDOM,DOCKET,EFFDATE,ENDEFYMD,EQ,ESTYMD,FDICDBS,FDICREGN,FDICSUPV,FED,FEDCHRTR,FED_RSSD,FORM31,HCTMULT,IBA,ID,INACTIVE,INSAGNT1,INSAGNT2,INSBIF,INSCOML,INSDATE,INSDIF,INSFDIC,INSSAIF,INSSAVE,INSTAG,INSTCRCD,LATITUDE,LAW_SASSER_FLG,LONGITUDE,MDI_STATUS_CODE,MDI_STATUS_DESC,MUTUAL,NAME,NAMEHCR,NETINC,NETINCQ,NEWCERT,OAKAR,OCCDIST,OCCDISTDESC,OFFDOM,OFFFOR,OFFICES,OFFOA,OI,PARCERT,PRIORNAME1,PRIORNAME2,PROCDATE,QBPRCOML,REGAGENT2,REGAGNT,REPDTE,RISDATE,ROA,ROAPTX,ROAPTXQ,ROAQ,ROE,ROEQ,RSSDHCR,RUNDATE,S10T250B,SASSER,SPECGRP,SPECGRPN,STALP,STALPHCR,STCHRTR,STCNTY,STNAME,STNUM,SUBCHAPS,SUPRV_FD,SZ100,SZ100T1B,SZ1BT10B,SZ250BP,TE01N528,TE01N529,TE02N528,TE02N529,TE03N528,TE03N529,TE04N528,TE04N529,TE05N528,TE05N529,TE06N528,TE06N529,TE07N528,TE08N528,TE09N528,TE10N528,TRACT,TRUST,ULTCERT,UNINUM,WEBADDR,ZIP,PRIORNAME3,CHANGEC2,CHANGEC3,CHANGEC4,CHANGEC5,CHANGEC6,PRIORNAME4,FEDDESC,PRIORNAME5,PRIORNAME6,,
1,401 Demers Ave,,5277526,N,41,0,"Grand Forks, ND-MN",,0,,24220,1,"Grand Forks, ND-MN",0,24220,3931,12/31/9999,12/31/9999,0,810,13790,OCC,Grand Forks,GRAND FORKS,3,N,Grand Forks,,0,,10/21/2024,0,4393268,4393268,10999,10/9/2024,12/31/9999,573187,9/30/1933,11,Kansas City,Kansas City,9,1,933256,0,,0,3931,0,DIF,,0,1,1/1/1934,1,1,0,0,0,0,47.924008,N,-97.03146797,,NONE,0,"Alerus Financial, National Association",ALERUS FINANCIAL CORP,23785,23785,0,0,4,WESTERN DISTRICT,27,0,27,0,0,0,First National Bank in Grand Forks,First National Bank North Dakota,10/21/2024,4,,OCC,3/31/2026,3/31/2026,1.814048407,2.391172826,2.39,1.81,16.77,16.77,2067007,6/26/2026,0,0,4,Commercial Lending Specialization,ND,ND,0,38035,North Dakota,38,0,11,0,0,1,0,,,,,,,,,,,,,,,,,1,10,3931,2563,http://www.alerus.com,58201,,,,,,,,,,,,
1,6810 S Minnesota Ave,,2242998,NM,51,1,"Sioux Falls, SD",,0,,43620,1,"Sioux Falls, SD",0,43620,1117,12/31/9999,12/31/9999,0,,0,STATE,Sioux Falls,HURON,21,N,Lincoln,,0,,7/15/2024,0,1957939,1957939,0,6/30/2024,12/31/9999,239592,01/01/1892,11,Kansas City,Kansas City,9,0,275358,0,,0,1117,0,DIF,,0,1,1/1/1934,1,1,0,0,1,0,43.48280254,N,-96.72693005,,NONE,0,American Bank & Trust,LEACKCO BANK HOLDING CO INC,6732,6732,0,0,,,20,0,20,0,0,0,Bank of Alpena,American State Bank,7/15/2024,4,,FDIC,3/31/2026,3/31/2026,1.226611847,1.608698158,1.61,1.23,11.52,11.52,1131406,6/26/2026,0,0,2,Agricultural Specialization,SD,SD,1,46083,South Dakota,46,0,11,0,0,1,0,,,,,,,,,,,,,,,,,1,10,1117,760,www.abt.bank,57108,,,,,,,,,,,,
1,215 5th St N,,764393,SB,51,1,"Fargo, ND-MN",,0,,22020,1,"Fargo, ND-MN",0,22020,29140,12/31/9999,12/31/9999,0,,702983,OCC,Fargo,FARGO,33,N,Cass,"Fargo-Wahpeton, ND-MN",1,244,7/15/2024,0,620362,620362,2983,6/30/2024,12/31/9999,69067,01/01/1891,11,Kansas City,Kansas City,9,1,637170,0,,0,29140,0,DIF,,0,0,8/9/1989,1,1,0,1,1,0,46.87876975,N,-96.78572398,,NONE,0,American Federal Bank,AMERICAN FEDERAL CORP,1737,1737,0,0,4,WESTERN DISTRICT,13,0,13,0,0,0,American Federal Savings Bank,American Federal Savings and Loan Association of East Grand Forks,7/15/2024,4,,OCC,3/31/2026,3/31/2026,0.898108388,0.898108388,0.9,0.9,10.2,10.2,3802858,6/26/2026,0,0,2,Agricultural Specialization,ND,ND,0,38017,North Dakota,38,1,11,0,1,0,0,,,,,,,,,,,,,,,,,0,0,29140,41974,www.americanfederalbank.com,58102,,,,,,,,,,,,
1,223 Main St,,660500,NM,51,1,"Williston, ND",,0,,0,0,,1,48780,15444,12/31/9999,12/31/9999,0,,0,STATE,Williston,WILLISTON,21,N,Williams,,0,,7/15/2024,0,584333,584333,12190,6/30/2024,12/31/9999,59997,12/1/1936,11,Kansas City,Kansas City,9,0,244251,0,,0,15444,0,DIF,,0,1,12/18/1936,1,1,0,0,0,0,48.146218,N,-103.622168,,NONE,0,American State Bank & Trust Company of Williston,AMERICAN STB HOLDING CO INC,4000,4000,0,0,,,2,0,2,0,0,0,American State Bank of Williston,,7/15/2024,4,,FDIC,3/31/2026,3/31/2026,2.446460736,2.446460736,2.45,2.45,26.61,26.61,2632571,6/26/2026,0,0,4,Commercial Lending Specialization,ND,ND,1,38105,North Dakota,38,1,11,0,1,0,0,,,,,,,,,,,,,,,,,1,10,15444,9756,www.asbt.bank,58801,,,,,,,,,,,,
1,5195 45th St S,,61946,NM,51,1,"Fargo, ND-MN",,0,,22020,1,"Fargo, ND-MN",0,22020,3934,12/31/9999,12/31/9999,0,,0,STATE,Fargo,FARGO,21,N,Cass,"Fargo-Wahpeton, ND-MN",1,244,7/15/2024,0,50876,50876,0,6/30/2024,12/31/9999,7148,9/19/1905,11,Kansas City,Kansas City,9,0,668053,0,,0,3934,0,DIF,,0,1,1/1/1934,1,1,0,0,0,0,46.80461212,N,-96.86174659,,NONE,0,Aspire Bank,ASPIRE BANCSHARES INC,165,165,0,0,3,CENTRAL DISTRICT,2,0,2,0,0,0,The Farmers and Merchants National Bank of Hatton,Aspire Financial,7/15/2024,4,,FDIC,3/31/2026,3/31/2026,1.059653686,1.412871581,1.41,1.06,9.34,9.34,3435957,6/26/2026,0,0,4,Commercial Lending Specialization,ND,ND,1,38017,North Dakota,38,0,11,1,0,0,0,,,,,,,,,,,,,,,,,0,0,3934,2565,aspirebanks.com,58104,"Aspire Financial, National Association",,,,,,,,,,,
1,5650 37th Ave S,,1177195,NM,51,1,"Fargo, ND-MN",,0,,22020,1,"Fargo, ND-MN",0,22020,8941,12/31/9999,12/31/9999,0,,0,STATE,Fargo,FARGO,21,N,Cass,"Fargo-Wahpeton, ND-MN",1,244,7/15/2024,0,977100,977100,15932,6/30/2024,12/31/9999,126057,9/5/1927,11,Kansas City,Kansas City,9,0,812557,0,,0,8941,0,DIF,,0,1,1/1/1934,1,1,0,0,1,0,46.82175597,N,-96.88180867,,NONE,0,Bank Forward,BK FORWARD EMPLOYEE STK OWNERSHIP PLAN&TR,5111,5111,0,0,,,12,0,12,0,0,0,Security State Bank of Hannaford,Security State Bank of North Dakota,7/15/2024,4,,FDIC,3/31/2026,3/31/2026,1.76809303,1.769822724,1.77,1.77,16.49,16.49,4932798,6/26/2026,0,0,2,Agricultural Specialization,ND,ND,1,38017,North Dakota,38,1,11,0,0,1,0,,,,,,,,,,,,,,,,,0,0,8941,5708,WWW.BANKFORWARD.COM,58104,,,,,,,,,,,,
1,123 S Main St,,329016,NM,41,1,"Little Rock-North Little Rock-Conway, AR",,0,,30780,1,"Little Rock-North Little Rock-Conway, AR",0,30780,13303,12/31/9999,12/31/9999,0,,0,STATE,England,ENGLAND,21,N,Lonoke,"Little Rock-North Little Rock, AR",1,340,8/31/2022,0,250565,250565,12297,8/31/2022,12/31/9999,65102,08/08/1898,13,Dallas,Dallas,8,0,244149,0,,0,13303,0,DIF,,0,1,1/1/1934,1,1,0,0,0,0,34.54506284,N,-91.87379369,,NONE,0,Bank of England,MHBC INVESTMENTS PARTNERSHIP I LLLP,339,339,0,0,,,151,0,151,0,0,0,,,8/31/2022,5,,FDIC,3/31/2026,3/31/2026,0.412384929,0.543764199,0.54,0.41,2.08,2.08,2795083,6/26/2026,0,0,7,Other Specialized Under 1 Billion,AR,AR,1,5085,Arkansas,5,0,13,0,1,0,0,,,,,,,,,,,,,,,,,0,0,13303,8411,www.bankofengland-ar.com,72046,,,,,,,,,,,,
1,363 Main St,,84624,NM,51,1,,,,,0,,,,,17813,12/31/9999,12/31/9999,0,,0,STATE,Hazelton,,21,N,Emmons,,,,7/15/2024,0,76527,76527,0,6/30/2024,12/31/9999,7790,8/22/1903,11,Kansas City,Kansas City,9,0,856458,0,,0,17813,0,DIF,,0,1,12/1/1957,1,1,0,0,1,0,46.48481734,N,-100.277181,,NONE,0,Bank of Hazelton,,378,378,0,0,,,1,0,1,0,0,0,,,7/15/2024,4,,FDIC,3/31/2026,3/31/2026,1.896055527,1.896055527,1.9,1.9,19.73,19.73,,6/26/2026,0,0,2,Agricultural Specialization,ND,,1,38029,North Dakota,38,1,11,1,0,0,0,,,,,,,,,,,,,,,,,0,0,17813,11761,www.bankofhazelton.net,58544,,,,,,,,,,,,
1,340 Main St,,669239,NM,51,1,"Fargo, ND-MN",,0,,22020,1,"Fargo, ND-MN",0,22020,8387,12/31/9999,12/31/9999,0,810,0,STATE,Arthur,ARTHUR,21,N,Cass,"Fargo-Wahpeton, ND-MN",1,244,12/11/2024,0,572144,572144,15880,12/6/2024,12/31/9999,76492,1/1/1905,11,Kansas City,Kansas City,9,0,721350,0,,0,8387,0,DIF,,0,1,1/1/1934,1,1,0,0,1,0,47.1035216,N,-97.21783901,,NONE,0,BankNorth,FIRST FINANCIAL CORP,2969,2969,0,0,,,11,0,11,0,0,0,First State Bank of North Dakota,First State Bank of Arthur,12/11/2024,4,,FDIC,3/31/2026,3/31/2026,1.738469792,1.756621548,1.76,1.74,15.52,15.52,1128040,6/26/2026,0,0,2,Agricultural Specialization,ND,ND,1,38017,North Dakota,38,1,11,0,1,0,0,,,,,,,,,,,,,,,,,0,0,8387,5343,banknorth.bank,58006,,,,,,,,,,,,
1,520 Main Ave,,14816488,NM,41,0,"Fargo, ND-MN",,0,,22020,1,"Fargo, ND-MN",0,22020,19581,12/31/2022,12/31/9999,1,520,0,STATE,Fargo,FARGO,21,N,Cass,"Fargo-Wahpeton, ND-MN",1,244,7/30/2024,0,12670338,12670338,0,7/22/2024,12/31/9999,1449675,5/6/1966,11,Kansas City,Kansas City,9,0,929352,0,,0,19581,0,DIF,,0,1,5/6/1966,1,1,0,0,0,0,46.87401646,N,-96.78747027,,NONE,0,Bell Bank,STATE BANKSHARES INC,34969,34969,0,0,,,34,0,34,0,0,0,State Bank & Trust,State Bank of Fargo,7/30/2024,4,,FDIC,3/31/2026,3/31/2026,0.956087383,1.089019318,1.09,0.96,9.77,9.77,1417333,6/26/2026,1,0,4,Commercial Lending Specialization,ND,ND,1,38017,North Dakota,38,0,11,0,0,0,0,www.healthcare.bank,HealthcareBank,,,,,,,,,,,,,,,1,10,19581,13381,www.bell.bank,58103,Bell State Bank & Trust,,,,,,,,,,,
