Company Name,Tariff / Rates,Tariff / Rates,Doing Business As,Certificate Number,City / Town,State
21ST CENTURY MOVING AND STORAGE INC,21st century tariff,https://www.mass.gov/doc/21st-century-tariff/download,SAME,32011,SHREWSBURY,MASSACHUSETTS
3C TRANSPORTATION AND LOGISTICS INC,3c transportation and logistics tariff,https://www.mass.gov/doc/3c-transportation-and-logistics-tariff,SHERIDAN MOVERS,23HG07,NEW BEDFORD,MASSACHUSETTS
3E MOVING & STORAGE INC,3e moving storage inc,https://www.mass.gov/doc/3e-moving-storage-inc/download,SAME,31663,CHELMSFORD,MASSACHUSETTS
5 SONS MOVING LLC,5 sons moving tariff,https://www.mass.gov/doc/5-sons-moving-tariff,SAME,24HG59,DORCHESTER,MASSACHUSETTS
617 BOSTON MOVERS LLC,617 movers tariff,https://www.mass.gov/doc/617-movers-tariff/download,SAME,24HG17,MIDDLETON,MASSACHUSETTS
A & B TWIN MOVERS INC,ab twin movers 32032 tariff,https://www.mass.gov/doc/ab-twin-movers-32032-tariff/download,SAME,32032,BOSTON,MASSACHUSETTS
A PLUS MOVING AND STORAGE,a plus tariff,https://www.mass.gov/doc/a-plus-tariff/download,SAME,31283,BOSTON,MASSACHUSETTS
A TO Z EXPRESS OF NH INC,a to z express of nh inc,https://www.mass.gov/doc/a-to-z-express-of-nh-inc/download,SAME,31385,SALEM,NEW HAMPSHIRE
"A TO Z MOVING AND STORAGE, INC","A TO Z MOVING AND STORAGE, INC",https://www.mass.gov/doc/a-to-z-moving-and-storage-26905-tariff-2026pdf,SAME,26905,WEST SPRINGFIELD,MASSACHUSETTS
A WALECKA & SON INC,a walecka son inc 5 1 2024 tariff,https://www.mass.gov/doc/a-walecka-son-inc-5-1-2024-tariff/download,SAME,3142,WEST WAREHAM,MASSACHUSETTS
"A&O SERVICES, INC,",eldredge bourne mov strge,https://www.mass.gov/doc/eldredge-bourne-mov-strge/download,ELDREDGE & BOURNE MOVING & STORAGE,1230,BARNSTABLE,MASSACHUSETTS
AAGGO MOVERS,aaggo movers,https://www.mass.gov/doc/aaggo-movers/download,SAME,28503,PALMER,MASSACHUSETTS
ABC MOVERS BOSTON INC,abc movers boston inc,https://www.mass.gov/doc/abc-movers-boston-inc/download,SAME,31778,DANVERS,MASSACHUSETTS
ABC MOVING & STORAGE,abc moving storage,https://www.mass.gov/doc/abc-moving-storage/download,ABC RELOCATION SERVICES INC,1235,HUDSON,NEW HAMPSHIRE
ABC MOVING SERVICES INC,abc moving services inc,https://www.mass.gov/doc/abc-moving-services-inc/download,SAME,25613,SOMERVILLE,MASSACHUSETTS
"ABLE MOVING & STORAGE CO., INC.",able moving and storage,https://www.mass.gov/doc/able-moving-and-storage/download,LAW MOVING & STORAGE,30078,MERRIMACK,NEW HAMPSHIRE
ACE & ACME FINE FURNITURE TAXI,ace acme fine furniture taxi,https://www.mass.gov/doc/ace-acme-fine-furniture-taxi/download,ACE & ACME INC,24267,MEDFIELD,MASSACHUSETTS
ALL ABOUT MOVING,all about moving,https://www.mass.gov/doc/all-about-moving/download,SAME,31357,MALDEN,MASSACHUSETTS
"ALL MY SONS MOVING & STORAGE OF RI, LLC",all my sons of rhode island tariff ma 3 sup 2 91125,https://www.mass.gov/doc/all-my-sons-of-rhode-island-tariff-ma-3-sup-2-91125/download,SAME,31627,CARROLLTON,TEXAS
ALL MY SONS OF BOSTON LLC,all my sons of boston tariff ma 3 sup 2 91125pdf,https://www.mass.gov/doc/all-my-sons-of-boston-tariff-ma-3-sup-2-91125pdf/download,SAME,31951,CARROLLTON,TEXAS
ALL MY SONS OF HARTFORD LLC,all my sons hartford llc 0,https://www.mass.gov/doc/all-my-sons-hartford-llc-0/download,ALL MY SONS MOVING & STORAGE,23HG46,CARROLLTON,TEXAS
ALLSET MOVING COMPANY,allset moving company 24hg34 tariff,https://www.mass.gov/doc/allset-moving-company-24hg34-tariff,SAME,24HG34,WATERTOWN,MASSACHUSETTS
ALLSTON PIANO MOVING CO INC,allston piano moving co inc,https://www.mass.gov/doc/allston-piano-moving-co-inc/download,SAME,25209,WINCHESTER,MASSACHUSETTS
"ALL WAYS MOVING, INC.",all ways moving inc tariff 062524,https://www.mass.gov/doc/all-ways-moving-inc-tariff-062524/download,SAME,1780,PITTSFIELD,MASSACHUSETTS
AMANAT LLC,amanat moving storage llc 32060 tariff,https://www.mass.gov/doc/amanat-moving-storage-llc-32060-tariff,SAME,32060,WALTHAM,MASSACHUSETTS
AMERICAN MOVING AND INSTALLATION,american moving and installation,https://www.mass.gov/doc/american-moving-and-installation/download,SAME,31723,HANOVER,MASSACHUSETTS
AOA MOVING SERVICES LLC,aoa moving services llc tariff 062524,https://www.mass.gov/doc/aoa-moving-services-llc-tariff-062524/download,SAME,32059,WATERTOWN,MASSACHUSETTS
AP DOYLE RELOCATION LLC,ap doyle relocation llc,https://www.mass.gov/doc/ap-doyle-relocation-llc/download,SAME,31878,WAKEFIELD,MASSACHUSETTS
