"Business Name","Location","Phone","Email","License Number","License Type","Status","Issue Date","Expire Date","DBA/Other Names","Contracted Movers"
"America's Most Reliable Movers Inc.","2300 4th Avenue South, Saint Petersburg, FL 33712  ","(727) 434-2278","AMRMOVERS@GMAIL.COM","IM1521","Intrastate Movers","Registered","08/03/2026","07/16/2028","",""
"Rice's Moving and Transport, Inc.","830 DeSoto Boulevard North, Naples, FL 34120  ","(239) 290-1519","ricesmoving@comcast.net","IM785","Intrastate Movers","Registered","08/07/2026","07/16/2028","Rice's Moving and Transport Inc.",""
"EEM Inc.","232 State Road 16, Ste 512, Saint Augustine, FL 32084 ","(904) 295-1972","d2dmoving@gmail.com","IM3000","Intrastate Movers","Registered","07/28/2026","06/28/2028","Door 2 Door Movers",""
"NBF Moving, LLC","130 Four Points Way, Tallahassee, FL 32305  ","(864) 444-2621","rebecca.feldman@twomen.com","IM2068","Intrastate Movers","Registered","07/29/2026","02/27/2028","Two Men and a Truck",""
"Jacksonville Moving Inc.","9836 Beach Boulevard, Jacksonville, FL 32246  ","(904) 510-5667","mark.roth@chhj.com","IM3636","Intrastate Movers","Registered","07/29/2026","07/26/2028","College Hunks Hauling Junk and Moving",""
"Esea Van Lines Inc.","745 Northwest 7th Terrace, Fort Lauderdale, FL 33311  ","(305) 776-3782","operations@eseavanlines.com","IM3912","Intrastate Movers","Registered","07/30/2026","06/05/2028","",""
"Tc 2 Services Corp","2165 Van Buren Street, Apt 1419, Hollywood, FL 33020 ","(754) 837-1088","tc2servicescorp@gmail.com","IM150004","Intrastate Movers","Registered","07/30/2026","07/30/2028","",""
"All Things Moving & Storage Solutions LLC","12201 Northwest 35th Street, Ste 206, Coral Springs, FL 33065 ","(954) 282-5054","kim@allthingsmovingfl.com","IM150005","Intrastate Movers","Registered","07/30/2026","07/30/2028","",""
"The Wes Stewart Corporation","6580 West 5th Street, Jacksonville, FL 32254  ","(904) 783-0715","scordeiro@stewartms.com","IM1355","Intrastate Movers","Registered","07/27/2026","06/28/2028","Stewart Moving & Storage",""
"PJS FL LLC","603 Avocado Street, Sebring, FL 33870  ","(863) 471-6495","rose@anywhereanytimemovingstorage.com","IM3932","Intrastate Movers","Registered","07/28/2026","07/24/2028","Anywhere Anytime Moving & Storage",""
"Haul of Fame Moving LLC","3952 Seminole Avenue, Fort Myers, FL 33916  ","(239) 821-6436","bigmoves239@gmail.com","IM3299","Intrastate Movers","Registered","07/30/2026","06/10/2028","",""
"Birdseye Transport & Logistics LLC","1616 North Florida Mango Road, West Palm Beach, FL 33409  ","(561) 260-4442","birdseye.logistics@gmail.com","IM3920","Intrastate Movers","Registered","07/31/2026","06/26/2028","",""
