"v1_url","observed_usdot","match_status","provider_id","v2_display_name","proposed_canonical","redirect_required","notes"
"/companies/allied-van-lines","125563|20125563","EXACT_USDOT_MATCH","92879fad-36b3-5771-ac0b-9e3704e7b48d","AERO MAYFLOWER TRANSIT COMPANY","/companies/allied-van-lines","NO","Exact identifier only; no fuzzy merge"
"/companies/united-van-lines","077949|77949|20077949","EXACT_USDOT_MATCH","dd2d40be-e377-5cfe-820a-b9a5db659d73","UNITED VAN LINES","/companies/united-van-lines","NO","Exact identifier only; no fuzzy merge"
"/companies/north-american-van-lines","070851|70851|20070851","EXACT_USDOT_MATCH","53dc5074-71f9-50a6-8a80-33588b2f5422","NORTH AMERICAN MOVING & STORAGE","/companies/north-american-van-lines","NO","Exact identifier only; no fuzzy merge"
"/companies/mayflower-transit","125563|20125563","EXACT_USDOT_MATCH","92879fad-36b3-5771-ac0b-9e3704e7b48d","AERO MAYFLOWER TRANSIT COMPANY","/companies/mayflower-transit","NO","Exact identifier only; no fuzzy merge"
"/companies/jk-moving-services","1065394|20106539","EXACT_USDOT_MATCH","e9ace64e-66cb-55e4-9ac9-49df836e629c","JK MOVING SERVICES","/companies/jk-moving-services","NO","Exact identifier only; no fuzzy merge"
"/companies/international-van-lines","1865578|20186557","UNMATCHED","","","/companies/international-van-lines","NO","Exact identifier only; no fuzzy merge"
"/companies/safeway-moving","2041756|20204175","UNMATCHED","","","/companies/safeway-moving","NO","Exact identifier only; no fuzzy merge"
"/companies/american-van-lines","614506|20614506","EXACT_USDOT_MATCH","fa6c1792-27ad-53f2-8c5f-c7e94918976c","AMERICAN VAN LINES INC","/companies/american-van-lines","NO","Exact identifier only; no fuzzy merge"
"/companies/colonial-van-lines","143437|20143437","EXACT_USDOT_MATCH","bf027c83-6066-51f7-a138-fc8c3aa5e1af","SPECIAL SERVICE CO INC","/companies/colonial-van-lines","NO","Exact identifier only; no fuzzy merge"
"/companies/bekins-van-lines","","UNMATCHED","","","/companies/bekins-van-lines","NO","No USDOT extracted from rendered Production HTML"
"/companies/atlas-van-lines","125563|20125563","EXACT_USDOT_MATCH","92879fad-36b3-5771-ac0b-9e3704e7b48d","AERO MAYFLOWER TRANSIT COMPANY","/companies/atlas-van-lines","NO","Exact identifier only; no fuzzy merge"
"/companies/two-men-and-a-truck","2256609|20225660","EXACT_USDOT_MATCH","016afabd-0fc4-54c1-a11f-d208ac658f6d","BEKINS VAN LINES INC","/companies/two-men-and-a-truck","NO","Exact identifier only; no fuzzy merge"
"/companies/pensey-moving","2108844|20210884","UNMATCHED","","","/companies/pensey-moving","NO","Exact identifier only; no fuzzy merge"
"/companies/stevens-worldwide","72029|2072029","EXACT_USDOT_MATCH","67f864af-7c9f-53db-9737-4c5c775e8223","STEVENS MOVING & STORAGE INC","/companies/stevens-worldwide","NO","Exact identifier only; no fuzzy merge"
"/companies/wheaton-world-wide","125563|20125563","EXACT_USDOT_MATCH","92879fad-36b3-5771-ac0b-9e3704e7b48d","AERO MAYFLOWER TRANSIT COMPANY","/companies/wheaton-world-wide","NO","Exact identifier only; no fuzzy merge"
"/companies/graebel-van-lines","125563|20125563","EXACT_USDOT_MATCH","92879fad-36b3-5771-ac0b-9e3704e7b48d","AERO MAYFLOWER TRANSIT COMPANY","/companies/graebel-van-lines","NO","Exact identifier only; no fuzzy merge"
"/companies/arpin-van-lines","125563|20125563","EXACT_USDOT_MATCH","92879fad-36b3-5771-ac0b-9e3704e7b48d","AERO MAYFLOWER TRANSIT COMPANY","/companies/arpin-van-lines","NO","Exact identifier only; no fuzzy merge"
"/companies/national-van-lines","70851|2070851","EXACT_USDOT_MATCH","53dc5074-71f9-50a6-8a80-33588b2f5422","NORTH AMERICAN MOVING & STORAGE","/companies/national-van-lines","NO","Exact identifier only; no fuzzy merge"
"/companies/royal-moving","2401924|20240192","UNMATCHED","","","/companies/royal-moving","NO","Exact identifier only; no fuzzy merge"
"/companies/gentle-giant-moving","373544|20373544","EXACT_USDOT_MATCH","3d38f8a6-b1e1-58d7-9012-1a63158ea9b2","GENTLE GIANT MOVING COMPANY GENTLE GIANT MOVING AND STORAGE","/companies/gentle-giant-moving","NO","Exact identifier only; no fuzzy merge"
