"current_path","route_family","page_type","static_dynamic","indexable","canonical","title","meta_description","robots_directive","structured_data_types","internal_links_in","internal_links_out","v1_feature_dependency","v2_equivalent","decision","redirect_status","redirect_target","canonical_target","launch_requirement","risk","notes"
"/","homepage","homepage","generated/static","true","https://www.movetrusthub.com","runtime; sampled in golden set","runtime; sampled in golden set","index,follow (sitemap membership)","sampled by family","crawl-derived at rehearsal","runtime","homepage","same intent V2 surface","REBUILD_IN_V2_SAME_URL","","","https://www.movetrusthub.com","preserve intent and metadata","LOW","Production sitemap observation"
"/about","about_methodology","about_methodology","generated/static","true","https://www.movetrusthub.com/about","runtime; sampled in golden set","runtime; sampled in golden set","index,follow (sitemap membership)","sampled by family","crawl-derived at rehearsal","runtime","about_methodology","same intent V2 surface","PRESERVE_AS_IS","","","https://www.movetrusthub.com/about","preserve intent and metadata","LOW","Production sitemap observation"
"/about/editorial-team","about_methodology","about_methodology","static","false","","repository route","","not present in sitemap","","repository","runtime","about_methodology","audit before launch","KEEP_V1_TEMPORARILY","","","","manual intent review","MEDIUM","Repository: app/(move)/(marketing)/about/editorial-team/page.tsx"
"/about/how-we-score-movers","about_methodology","about_methodology","static","false","","repository route","","not present in sitemap","","repository","runtime","about_methodology","audit before launch","KEEP_V1_TEMPORARILY","","","","manual intent review","MEDIUM","Repository: app/(move)/(marketing)/about/how-we-score-movers/page.tsx"
"/about/methodology","legacy_redirect","redirect","redirect rule","false","","","","redirect","","legacy/Search Console","","legacy URL","/about/how-we-score-movers","REBUILD_IN_V2_NEW_URL_WITH_301","301","/about/how-we-score-movers","https://www.movetrusthub.com/about/how-we-score-movers","one-hop permanent redirect","LOW","Existing redirect preserved"
"/about/trust","legacy_redirect","redirect","redirect rule","false","","","","redirect","","legacy/Search Console","","legacy URL","/about/how-we-score-movers","REBUILD_IN_V2_NEW_URL_WITH_301","301","/about/how-we-score-movers","https://www.movetrusthub.com/about/how-we-score-movers","one-hop permanent redirect","LOW","Existing redirect preserved"
"/admin","internal_private","internal_private","static","false","","repository route","","not public/indexable","","repository","runtime","internal_private","none","INTERNAL_ONLY / NOT PUBLIC","","","","remain inaccessible/noindex","HIGH if exposed","Repository: app/admin/page.tsx"
"/admin/api/login","internal_private","internal_private","static","false","","repository route","","not public/indexable","","repository","runtime","internal_private","none","INTERNAL_ONLY / NOT PUBLIC","","","","remain inaccessible/noindex","HIGH if exposed","Repository: app/admin/api/login/route.ts"
"/admin/bbb","internal_private","internal_private","static","false","","repository route","","not public/indexable","","repository","runtime","internal_private","none","INTERNAL_ONLY / NOT PUBLIC","","","","remain inaccessible/noindex","HIGH if exposed","Repository: app/admin/bbb/page.tsx"
"/admin/fmcsa","internal_private","internal_private","static","false","","repository route","","not public/indexable","","repository","runtime","internal_private","none","INTERNAL_ONLY / NOT PUBLIC","","","","remain inaccessible/noindex","HIGH if exposed","Repository: app/admin/fmcsa/page.tsx"
"/admin/login","internal_private","internal_private","static","false","","repository route","","not public/indexable","","repository","runtime","internal_private","none","INTERNAL_ONLY / NOT PUBLIC","","","","remain inaccessible/noindex","HIGH if exposed","Repository: app/admin/login/page.tsx"
"/admin/my-move-users","internal_private","internal_private","static","false","","repository route","","not public/indexable","","repository","runtime","internal_private","none","INTERNAL_ONLY / NOT PUBLIC","","","","remain inaccessible/noindex","HIGH if exposed","Repository: app/admin/my-move-users/page.tsx"
"/admin/portal-claims","internal_private","internal_private","static","false","","repository route","","not public/indexable","","repository","runtime","internal_private","none","INTERNAL_ONLY / NOT PUBLIC","","","","remain inaccessible/noindex","HIGH if exposed","Repository: app/admin/portal-claims/page.tsx"
"/admin/portal-disputes","internal_private","internal_private","static","false","","repository route","","not public/indexable","","repository","runtime","internal_private","none","INTERNAL_ONLY / NOT PUBLIC","","","","remain inaccessible/noindex","HIGH if exposed","Repository: app/admin/portal-disputes/page.tsx"
"/admin/quotes","internal_private","internal_private","static","false","","repository route","","not public/indexable","","repository","runtime","internal_private","none","INTERNAL_ONLY / NOT PUBLIC","","","","remain inaccessible/noindex","HIGH if exposed","Repository: app/admin/quotes/page.tsx"
"/admin/reviews","internal_private","internal_private","static","false","","repository route","","not public/indexable","","repository","runtime","internal_private","none","INTERNAL_ONLY / NOT PUBLIC","","","","remain inaccessible/noindex","HIGH if exposed","Repository: app/admin/reviews/page.tsx"
"/admin/suggestions","internal_private","internal_private","static","false","","repository route","","not public/indexable","","repository","runtime","internal_private","none","INTERNAL_ONLY / NOT PUBLIC","","","","remain inaccessible/noindex","HIGH if exposed","Repository: app/admin/suggestions/page.tsx"
"/api/auth/facebook","public_api","public_api","static","false","","repository route","","not public/indexable","","repository","runtime","public_api","none","INTERNAL_ONLY / NOT PUBLIC","","","","remain inaccessible/noindex","HIGH if exposed","Repository: app/api/auth/facebook/route.ts"
"/api/auth/google","public_api","public_api","static","false","","repository route","","not public/indexable","","repository","runtime","public_api","none","INTERNAL_ONLY / NOT PUBLIC","","","","remain inaccessible/noindex","HIGH if exposed","Repository: app/api/auth/google/route.ts"
"/api/auth/magic-link","public_api","public_api","static","false","","repository route","","not public/indexable","","repository","runtime","public_api","none","INTERNAL_ONLY / NOT PUBLIC","","","","remain inaccessible/noindex","HIGH if exposed","Repository: app/api/auth/magic-link/route.ts"
"/api/auth/network-handoff/health","public_api","public_api","static","false","","repository route","","not public/indexable","","repository","runtime","public_api","none","INTERNAL_ONLY / NOT PUBLIC","","","","remain inaccessible/noindex","HIGH if exposed","Repository: app/api/auth/network-handoff/health/route.ts"
"/api/auth/network-handoff/start","public_api","public_api","static","false","","repository route","","not public/indexable","","repository","runtime","public_api","none","INTERNAL_ONLY / NOT PUBLIC","","","","remain inaccessible/noindex","HIGH if exposed","Repository: app/api/auth/network-handoff/start/route.ts"
"/api/chat","public_api","public_api","static","false","","repository route","","not public/indexable","","repository","runtime","public_api","none","INTERNAL_ONLY / NOT PUBLIC","","","","remain inaccessible/noindex","HIGH if exposed","Repository: app/api/chat/route.ts"
"/api/client-errors","public_api","public_api","static","false","","repository route","","not public/indexable","","repository","runtime","public_api","none","INTERNAL_ONLY / NOT PUBLIC","","","","remain inaccessible/noindex","HIGH if exposed","Repository: app/api/client-errors/route.ts"
