Kitchen ,
Item,Volume
BAKERS RACK,18 cf
BAR CART,15 cf
BAR STOOL WITH BACK,7 cf
BUTCHER BLOCK,21 cf
"CHAIR, KITCHEN",7 cf
"FREEZER, LARGE",40 cf
"FREEZER, MEDIUM",29 cf
"FREEZER, SMALL",20 cf
"FREEZER, XLG.",57 cf
GARBAGE CAN,3 cf
GRIDDLE,10 cf
KITCHENAIDE MIXER,2 cf
MICROWAVE,5 cf
MICROWAVE CART,7 cf
REFRIGERATOR DORMITORY,10 cf
"REFRIGERATOR, SIDE BY SIDE",60 cf
"REFRIGERATOR, TOP AND BOTTOM",40 cf
"REFRIGERATOR, WINE",20 cf
STOVE,25 cf
"TABLE, KITCHEN (LG)",20 cf
"TABLE, KITCHEN (SM.)",15 cf
"TABLE, KITCHEN, MD",18 cf
"TABLE, PUB",11 cf
WATER COOLER,7 cf
