Living Room  ,
Item,Volume
"BAR, PORTABLE",30 cf
"BAR, STOOL",5 cf
"BENCH, STORAGE",15 cf
BISTRO SET,25 cf
BOOKCASE LG,25 cf
"BOOKCASE, MED",15 cf
"BOOKCASE, SM",10 cf
"CABINET, CORNER",30 cf
"CABINET, HOOSIER",25 cf
"CABINET, JELLY",15 cf
"CABINET, LARGE",25 cf
"CABINET, MEDIUM",15 cf
"CABINET, SMALL",10 cf
"CABINET, STEREO",20 cf
CARD TABLE,6 cf
CAT TREE,10 cf
CHAIR AND A HALF,20 cf
"CHAIR, ARM",10 cf
"CHAIR, ARM UPHOLSTERED",15 cf
"CHAIR, CLUB",14 cf
"CHAIR, EASY",22 cf
"CHAIR, EGG",15 cf
"CHAIR, GAMING",15 cf
"CHAIR, OCCASIONAL",14 cf
"CHAIR, OVERSTUFFED",25 cf
"CHAIR, PAPASAN",11 cf
"CHAIR, QUEEN ANNE",14 cf
"CHAIR, RECLINER",21 cf
"CHAIR, ROCKING",10 cf
"CHAIR, SINGLE",5 cf
"CHAIR, WICKER",5 cf
"CHAIR, WINGBACK",15 cf
CHAISE LOUNGE,25 cf
"CHANDELIER, LG.",20 cf
"CHANDELIER, SM.",10 cf
CHIMANEA,15 cf
"CLOCK, GRANDFATHER",29 cf
"CLOCK, GRANDMOTHER",25 cf
"CLOCK, WALL",3 cf
COAT RACK,10 cf
CONSOLE TABLE,15 cf
CONSOLE TABLE (GLASS),20 cf
"CUBBY STORAGE, LARGE",15 cf
"CUBBY STORAGE, MEDIUM",10 cf
"CUBBY STORAGE, SMALL",5 cf
CURIO CABINET LG,36 cf
DISPLAY CABINET (GLASS),40 cf
"ENTERTAINMENT CENTER, LG",40 cf
"ENTERTAINMENT CENTER, REG",25 cf
"ENTERTAINMENT CENTER, SM",14 cf
ETAGERE,20 cf
FOOT STOOL,3 cf
FUTON,36 cf
HUTCH,40 cf
LADDER SHELF,6 cf
LIVING ROOM CHAIR,20 cf
MAGAZINE RACK,3 cf
NESTING TABLES,12 cf
"OTTOMAN, LG.",12 cf
"OTTOMAN, MD.",8 cf
"OTTOMAN, SM.",6 cf
PIANO BENCH,5 cf
"PIANO, BABYGRAND",70 cf
"PIANO, GRAND",85 cf
"PIANO, SPINET",50 cf
"PIANO, UPRIGHT",60 cf
"PLANT ARTIFICIAL, LARGE",9 cf
"PLANT ARTIFICIAL, MEDIUM",7 cf
"PLANT ARTIFICIAL, SMALL",5 cf
RUG 10X12,11 cf
RUG 5X8,7 cf
RUG 8X10,10 cf
"SCREEN, FOLDING",15 cf
SETTEE,35 cf
"SIDEBOARD, LG",40 cf
"SOFA, 2 CUSHION LOVESEAT",45 cf
"SOFA, 3 CUSHION",68 cf
"SOFA, BED (PULL OUT)",60 cf
"SOFA, L-SHAPED",150 cf
"SOFA, SECTIONAL-2 PIECE",90 cf
"SOFA, SECTIONAL-3 PIECE",115 cf
"SOFA, SECTIONAL-4 PIECE",150 cf
"SOFA, SECTIONAL-5 PIECE",200 cf
"SOFA, U SHAPED",200 cf
"SPEAKER, LG.",10 cf
"SPEAKER, REGULAR",5 cf
"TABLE, COFFEE",15 cf
"TABLE, COFFEE (GLASS TOP)",20 cf
"TABLE, COFFEE (MARBLE TOP)",20 cf
"TABLE, END",10 cf
"TABLE, END (GLASS TOP)",15 cf
"TABLE, END (MARBLE TOP)",15 cf
"TABLE, ENTRY",15 cf
"TABLE, ENTRY (GLASS TOP)",25 cf
"TABLE, ENTRY (MARBLE TOP)",25 cf
"TABLE, SIDE",10 cf
"TABLE, SOFA",15 cf
TOWER HEATER,25 cf
TV STAND LRG,25 cf
VICTROLA,30 cf
WALL UNIT 1 PIECE,25 cf
WALL UNIT 2 PIECE,50 cf
WALL UNIT 3 PIECE,75 cf
WALL UNIT 4 PIECE,100 cf
